Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 6, 2025"
Statement,Data,WhenGenerated,"2025-08-07, 01:27:57 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Trades,Header,DataDiscriminator,Asset Category,Currency,Account,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,USD,U18135473,AMD,"2025-08-06, 11:05:29","-7,310",159.080874679,163.12,1162881.1939,-18.139154276,-991146.689707,171716.365049,-29526.0061,C;P
Trades,SubTotal,,Stocks,USD,AMD,,,-7310,,,1162881.1939,-18.139154276,-991146.689707,171716.365049,-29526.0061,
Trades,Data,Order,Stocks,USD,U18135473,BMNR,"2025-08-06, 14:19:20","1,000",38.208,38.47,-38208,-0.2611025,38208.2611025,0,262,O;P
Trades,SubTotal,,Stocks,USD,BMNR,,,1000,,,-38208,-0.2611025,38208.2611025,0,262,
Trades,Data,Order,Stocks,USD,U18135473,CME,"2025-08-06, 14:29:18","1,000",281.4905,281.35,-281490.5,-0.3436025,281490.8436025,0,-140.5,O;P
Trades,SubTotal,,Stocks,USD,CME,,,1000,,,-281490.5,-0.3436025,281490.8436025,0,-140.5,
Trades,Data,Order,Stocks,USD,U18135473,DE,"2025-08-06, 09:30:01",200,509.84,509.64,-101968,-0.59465725,101968.59465725,0,-40,O;P
Trades,SubTotal,,Stocks,USD,DE,,,200,,,-101968,-0.59465725,101968.59465725,0,-40,
Trades,Data,Order,Stocks,USD,U18135473,FXE,"2025-08-06, 09:30:00","23,700",107.27,107.54,-2542299,-76.387529251,2542375.387529251,0,6399,O;P
Trades,SubTotal,,Stocks,USD,FXE,,,23700,,,-2542299,-76.387529251,2542375.387529251,0,6399,
Trades,Data,Order,Stocks,USD,U18135473,FXY,"2025-08-06, 09:30:00","40,800",62.48,62.57,-2549184,-131.502581999,2549315.502582,0,3672,O;P
Trades,SubTotal,,Stocks,USD,FXY,,,40800,,,-2549184,-131.502581999,2549315.502582,0,3672,
Trades,Data,Order,Stocks,USD,U18135473,GS,"2025-08-06, 12:21:00","-1,140",726.803149123,724.74,828555.59,-1.81457685,-804832.337947,23721.437479,2351.99,C;P
Trades,SubTotal,,Stocks,USD,GS,,,-1140,,,828555.59,-1.81457685,-804832.337947,23721.437479,2351.99,
Trades,Data,Order,Stocks,USD,U18135473,IAUM,"2025-08-06, 12:16:14","23,800",33.631840336,33.62,-800437.8,-21.286339499,800459.086339499,0,-281.8,O;P
Trades,SubTotal,,Stocks,USD,IAUM,,,23800,,,-800437.8,-21.286339499,800459.086339499,0,-281.8,
Trades,Data,Order,Stocks,USD,U18135473,JPIB,"2025-08-06, 12:13:38","20,600",48.65508301,48.65,-1002294.71,-86.8664115,1002381.5764115,0,-104.71,O;P
Trades,SubTotal,,Stocks,USD,JPIB,,,20600,,,-1002294.71,-86.8664115,1002381.5764115,0,-104.71,
Trades,Data,Order,Stocks,USD,U18135473,JPM,"2025-08-06, 12:20:33","-2,754",291.43,291.35,802598.22,-1.897788284,-799351.874407,3244.447806,220.32,C;P
Trades,SubTotal,,Stocks,USD,JPM,,,-2754,,,802598.22,-1.897788284,-799351.874407,3244.447806,220.32,
Trades,Data,Order,Stocks,USD,U18135473,LLY,"2025-08-06, 14:35:25","3,549",742.885238095,746.37,-2636499.71,-1.856490771,2636501.566490771,0,12367.42,O;P
Trades,Data,Order,Stocks,USD,U18135473,LLY,"2025-08-06, 15:33:34","2,167",745.696995847,746.37,-1615925.39,-1.805563119,1615927.195563119,0,1458.4,O;P
Trades,Data,Order,Stocks,USD,U18135473,LLY,"2025-08-06, 15:50:59",400,746.0945,746.37,-298437.8,-1.169741,298438.969741,0,110.2,O;P
Trades,Data,Order,Stocks,USD,U18135473,LLY,"2025-08-06, 15:54:12","1,384",746.410809249,746.37,-1033032.56,-2.26277386,1033034.82277386,0,-56.48,O;P
Trades,SubTotal,,Stocks,USD,LLY,,,7500,,,-5583895.460000001,-7.09456875,5583902.55456875,0,13879.54,
Trades,Data,Order,Stocks,USD,U18135473,NVDA,"2025-08-06, 12:37:18",700,177.896885714,179.42,-124527.82,-0.76667175,124528.58667175,0,1066.18,O;P
Trades,SubTotal,,Stocks,USD,NVDA,,,700,,,-124527.82,-0.76667175,124528.58667175,0,1066.18,
Trades,Data,Order,Stocks,USD,U18135473,SHOP,"2025-08-06, 09:30:00","5,436",145.16,154.9,-789089.76,-17.52078519,789107.28078519,0,52946.64,O
Trades,SubTotal,,Stocks,USD,SHOP,,,5436,,,-789089.76,-17.52078519,789107.28078519,0,52946.64,
Trades,Data,Order,Stocks,USD,U18135473,SHYG,"2025-08-06, 12:26:19","13,800",42.885521739,42.92,-591820.2,-21.8183145,591842.0183145,0,475.8,O;P
Trades,SubTotal,,Stocks,USD,SHYG,,,13800,,,-591820.2,-21.8183145,591842.0183145,0,475.8,
Trades,Data,Order,Stocks,USD,U18135473,TLT,"2025-08-06, 13:55:27","1,600",87.55245625,87.82,-140083.93,0.642536,140083.287464,0,428.07,IM;O;P
Trades,Data,Order,Stocks,USD,U18135473,TLT,"2025-08-06, 14:24:50",800,87.68375,87.82,-70147,0.321518,70146.678482,0,109,O;P
Trades,Data,Order,Stocks,USD,U18135473,TLT,"2025-08-06, 15:11:06","27,600",87.804338768,87.82,-2423399.75,-8.319629002,2423408.069629002,0,432.25,IM;O;P
Trades,SubTotal,,Stocks,USD,TLT,,,30000,,,-2633630.680000001,-7.355575002,2633638.035575002,0,969.32,
Trades,Data,Order,Stocks,USD,U18135473,TQQQ,"2025-08-06, 11:46:19",-500,87.9,88.84,43950,-0.29455125,-42394.369251,1555.336198,-470,C
Trades,Data,Order,Stocks,USD,U18135473,TQQQ,"2025-08-06, 11:46:32","-56,800",88.514154254,88.84,5027603.961599998,-18.748876996,-4819438.300134001,208146.912499999,-18508.0384,C;IM;P
Trades,SubTotal,,Stocks,USD,TQQQ,,,-57300,,,5071553.961599998,-19.043428246,-4861832.669385001,209702.248697999,-18978.0384,
Trades,Data,Order,Stocks,USD,U18135473,UVXY,"2025-08-06, 12:11:43","-36,172",15.3557134,15.08,555446.8651,-95.896450631,-571081.149807,-15730.181156,9973.1051,C;P
Trades,SubTotal,,Stocks,USD,UVXY,,,-36172,,,555446.8651,-95.896450631,-571081.149807,-15730.181156,9973.1051,
Trades,Data,Order,Stocks,USD,U18135473,VST,"2025-08-06, 14:04:59","-2,116",200.39,200.85,424025.24,-1.45814089,-384665.893186,39357.888674,-973.36,C
Trades,Data,Order,Stocks,USD,U18135473,VST,"2025-08-06, 14:06:25",-80,200.655,200.85,16052.4,-0.38169725,-15167.282918,884.735385,-15.6,C
Trades,SubTotal,,Stocks,USD,VST,,,-2196,,,440077.64,-1.83983814,-399833.176104,40242.624059,-988.96,
Trades,Total,,Stocks,USD,,,,,,,-8177732.459400003,-510.429376118,8611139.83078269,432896.941934999,42155.8806, 
Trades,Header,DataDiscriminator,Asset Category,Currency,Account,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Equity and Index Options,USD,U18135473,AMD 15JAN27 120 C,"2025-08-06, 15:45:24",60,61.75,61.3552,-370500,-31.347,370531.347,0,-2368.8,O;P
Trades,SubTotal,,Equity and Index Options,USD,AMD 15JAN27 120 C,,,60,,,-370500,-31.347,370531.347,0,-2368.8,
Trades,Data,Order,Equity and Index Options,USD,U18135473,AMD 15JAN27 190 C,"2025-08-06, 11:37:49",88,27.26,28.325,-239888,-61.9476,239949.9476,0,9372,O;P
Trades,SubTotal,,Equity and Index Options,USD,AMD 15JAN27 190 C,,,88,,,-239888,-61.9476,239949.9476,0,9372,
Trades,Data,Order,Equity and Index Options,USD,U18135473,AMD 15JAN27 175 P,"2025-08-06, 11:37:49",-88,37.1,36.351,326480,-62.19312,-326417.80688,0,6591.2,O;P
Trades,Data,Order,Equity and Index Options,USD,U18135473,AMD 15JAN27 175 P,"2025-08-06, 15:45:24",-80,35.9525,36.351,287620,-42.0192,-287577.9808,0,-3188,O;P
