Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"April 30, 2026"
Statement,Data,WhenGenerated,"2026-05-06, 02:20:29 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Trades,Header,DataDiscriminator,Asset Category,Currency,Account,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,JPY,U18135473,7974.T,"2026-04-29, 21:24:33","-18,700",7754.556149733,7687,145010200,-61922.0554,-170156923.993256,-25208646.048656,1263300,C;P
Trades,SubTotal,,Stocks,JPY,7974.T,,,-18700,,,145010200,-61922.0554,-170156923.993256,-25208646.048656,1263300,
Trades,Data,Order,Stocks,JPY,U18135473,8346.T,"2026-04-29, 21:25:30","-18,000",662.545555556,667,11925820,-5095.02514,-10908525.69309,1012199.28177,-80180,C;P
Trades,SubTotal,,Stocks,JPY,8346.T,,,-18000,,,11925820,-5095.02514,-10908525.69309,1012199.28177,-80180,
Trades,Total,,Stocks,JPY,,,,,,,156936020,-67017.08054,-181065449.686346,-24196446.766886003,1183120, 
Trades,Total,,Stocks,USD,,,,,,,1002020.794098,-427.89735754,-1156084.789702351,-154491.89296189,7554.102888, 
Trades,Data,Order,Stocks,USD,U18135473,APD,"2026-04-30, 15:21:08","-3,520",300.13410483,300.05,1056472.049,-32.16360501,-1023902.26717,32537.618224,296.049,C;P
Trades,SubTotal,,Stocks,USD,APD,,,-3520,,,1056472.049,-32.16360501,-1023902.26717,32537.618224,296.049,
Trades,Data,Order,Stocks,USD,U18135473,CF,"2026-04-30, 15:21:26","-8,000",125.16102,124.2,1001288.16,-39.995356096,-971760.909759,29487.254882,7688.16,C;P
Trades,SubTotal,,Stocks,USD,CF,,,-8000,,,1001288.16,-39.995356096,-971760.909759,29487.254882,7688.16,
Trades,Data,Order,Stocks,USD,U18135473,CNQ,"2026-04-30, 15:19:27","-27,000",47.712010993,47.69,1288224.2968,-77.732188014,-1316868.268689,-28721.704094,594.2968,C;IM;P
