Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 2, 2025"
Statement,Data,WhenGenerated,"2025-01-03, 00:13:35 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-122339183.55537316,1797986.021053089,-133112908.76396666,-131314922.74291357,-8975739.187540412
Net Asset Value,Data,Stock,194134612.75800002,195191594.2035,0,195191594.2035,1056981.445499986
Net Asset Value,Data,Options,-107017.55,82105.1,-222630.55,-140525.45,-33507.9
Net Asset Value,Data,Interest Accruals,-523157.8283277,0,-558985.3595243,-558985.3595243,-35827.5311966
Net Asset Value,Data,Dividend Accruals,39694.96,78532.0890459,-226.18,78305.9090459,38610.9490459
Net Asset Value,Data,Total,71204948.78429915,197150217.41359898,-133894750.85349096,63255466.56010802,-7949482.224191129
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,1.688800966%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,71204948.78429915
Change in NAV,Data,Mark-to-Market,1047943.21299958
Change in NAV,Data,Deposits & Withdrawals,-9000000
Change in NAV,Data,Change in Dividend Accruals,38610.9490459
Change in NAV,Data,Change in Interest Accruals,-35932.0837538
Change in NAV,Data,Commissions,-208.85504
Change in NAV,Data,Other FX Translations,104.5525572
Change in NAV,Data,Ending Value,63255466.56010802
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.5500,22.2000,-8551.235,0,0,0,-8551.235,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,266.6000,258.2000,-27543.978,0,0,0,-27543.978,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.4300,4.1900,-81011.7,0,0,0,-81011.7,
Mark-to-Market Performance Summary,Data,Stocks,1810,80000,80000,34.5000,34.0000,-5143.6,0,0,0,-5143.6,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,77.8500,76.1500,-1093.015,0,0,0,-1093.015,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,46.0500,44.2000,-29736.4375,0,0,0,-29736.4375,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,56.5000,53.1500,-8615.53,0,0,0,-8615.53,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,74.2800,72.3600,-107398.368,0,0,0,-107398.368,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.3900,9.1200,-20831.58,0,0,0,-20831.58,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,151.7000,150.6000,-1768.1125,0,0,0,-1768.1125,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,490.5000","1,490.5000",0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,937.0000","3,937.0000",0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.4000,12.1800,-6789.552,0,0,0,-6789.552,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,417.0000,416.0000,-5336.485,0,0,0,-5336.485,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,19.1200,18.8800,-15430.8,0,0,0,-15430.8,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,76.6000,75.6000,-16073.75,0,0,0,-16073.75,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,136.0000,132.5000,-5625.8125,0,0,0,-5625.8125,
