Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 6, 2025"
Statement,Data,WhenGenerated,"2025-01-06, 23:23:41 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-131724651.46555082,1170931.121053392,-132552683.53976686,-131381752.41871347,342899.04683736
Net Asset Value,Data,Stock,198672382.696,200120654.042,0,200120654.042,1448271.345999986
Net Asset Value,Data,Options,-101996.16,177140.2,-460235.93,-283095.73,-181099.57
Net Asset Value,Data,Interest Accruals,-577631.2614377,0,-91908.1773891,-91908.1773891,485723.0840486
Net Asset Value,Data,Dividend Accruals,80058.6693672,82315.7677867,-234.28,82081.4877867,2022.8184195
Net Asset Value,Data,Total,66348162.47837868,201551041.1308401,-133105061.92715597,68445979.20368412,2097816.725305438
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,3.161830934%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,66348162.47837868
Change in NAV,Data,Mark-to-Market,2151532.45929603
Change in NAV,Data,Change in Dividend Accruals,2007.120026
Change in NAV,Data,Interest,-540990.4926907
Change in NAV,Data,Change in Interest Accruals,485802.0552901
Change in NAV,Data,Commissions,-471.143768
Change in NAV,Data,Other FX Translations,-63.272848
Change in NAV,Data,Ending Value,68445979.20368412
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.4500,22.1500,-7330.77,0,0,0,-7330.77,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,258.0000,256.6000,-4591.377,0,0,0,-4591.377,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.2500,4.2400,-3376.0125,0,0,0,-3376.0125,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,36.2500,36.3000,643.05,0,0,0,643.05,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,75.9500,75.1500,-514.44,0,0,0,-514.44,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,44.0500,43.9000,-2411.4375,0,0,0,-2411.4375,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,52.8000,52.2000,-1543.32,0,0,0,-1543.32,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,73.2400,73.0400,-11189.07,0,0,0,-11189.07,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.2150,9.2100,-385.83,0,0,0,-385.83,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,153.7000,150.7000,-4822.875,0,0,0,-4822.875,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,490.5000","1,509.0000",1173.492,0,0,0,1173.492,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,937.0000","3,971.0000",3235.032,0,0,0,3235.032,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.3000,12.3200,617.328,0,0,0,617.328,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,414.2000,409.4000,-25619.112,0,0,0,-25619.112,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,19.0200,19.1400,7716.6,0,0,0,7716.6,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,75.8500,75.9000,803.8125,0,0,0,803.8125,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,134.2000,135.7000,2411.4375,0,0,0,2411.4375,
