Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 7, 2025"
Statement,Data,WhenGenerated,"2025-01-07, 22:37:33 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-131381752.41871347,1175181.451053185,-133086791.71831103,-131911610.26725784,-529857.848544374
Net Asset Value,Data,Stock,200120654.042,196935241.18949997,0,196935241.18949997,-3185412.852500021
Net Asset Value,Data,Options,-283095.73,98122.6,-308762.95025,-210640.35025,72455.37975
Net Asset Value,Data,Interest Accruals,-91908.1773891,0,-110295.6169759,-110295.6169759,-18387.4395868
Net Asset Value,Data,Dividend Accruals,82081.4877867,82309.5198973,-234.28,82075.2398973,-6.2478894
Net Asset Value,Data,Total,68445979.20368412,198290854.76045045,-133506084.56553693,64784770.19491352,-3661209.0087706
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-5.349049062%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,68445979.20368412
Change in NAV,Data,Mark-to-Market,-3642431.43157681
Change in NAV,Data,Change in Dividend Accruals,0.01
Change in NAV,Data,Change in Interest Accruals,-18390.3040497
Change in NAV,Data,Commissions,-154.712279661
Change in NAV,Data,Transaction Fees,-229.177437913
Change in NAV,Data,Other FX Translations,-3.3934265
Change in NAV,Data,Ending Value,64784770.19491352
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.1500,22.1500,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,256.6000,259.2000,8525.517,0,0,0,8525.517,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.2400,4.2600,6750.975,0,0,0,6750.975,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,150000,36.3000,34.1500,-27646.85,-2571.8,-357.825425573,0,-30576.475425573,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,75.1500,76.6000,932.2775,0,0,0,932.2775,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,43.9000,43.2500,-10447.9375,0,0,0,-10447.9375,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,52.2000,51.5000,-1800.26,0,0,0,-1800.26,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,73.0400,72.0600,-54817.917,0,0,0,-54817.917,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.2100,9.1200,-6943.86,0,0,0,-6943.86,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,150.7000,148.7000,-3214.75,0,0,0,-3214.75,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,509.0000","1,549.5000",2562.273,0,0,0,2562.273,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,971.0000","4,038.0000",6358.233,0,0,0,6358.233,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.3200,12.3400,617.232,0,0,0,617.232,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,409.4000,379.6000,-159027.253,0,0,0,-159027.253,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,19.1400,18.9800,-10287.2,0,0,0,-10287.2,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,75.9000,75.6000,-4822.125,0,0,0,-4822.125,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,135.7000,135.0000,-1125.1625,0,0,0,-1125.1625,
Mark-to-Market Performance Summary,Data,Stocks,992,50000,50000,9.8600,9.7200,-900.13,0,0,0,-900.13,
Mark-to-Market Performance Summary,Data,Stocks,9961,9500,9500,520.5000,507.5000,-15880.865,0,0,0,-15880.865,
Mark-to-Market Performance Summary,Data,Stocks,9988,30000,30000,82.1500,81.4000,-2893.275,0,0,0,-2893.275,
Mark-to-Market Performance Summary,Data,Stocks,9CI,500000,500000,2.6400,2.5800,-21991.2,0,0,0,-21991.2,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,2000,2000,245.0000,242.2100,-5580,0,0,0,-5580,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,2000,2000,227.6100,222.1100,-11000,0,0,0,-11000,
Mark-to-Market Performance Summary,Data,Stocks,ANF,1000,1000,156.2200,152.1300,-4090,0,0,0,-4090,
Mark-to-Market Performance Summary,Data,Stocks,ASML,500,500,768.5100,757.5800,-5465,0,0,0,-5465,
Mark-to-Market Performance Summary,Data,Stocks,BILI,2500,2500,16.9900,17.4200,1075,0,0,0,1075,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,2000,2000,451.4100,452.9200,3020,0,0,0,3020,
Mark-to-Market Performance Summary,Data,Stocks,BX,1500,1500,174.7900,171.3400,-5175,0,0,0,-5175,
Mark-to-Market Performance Summary,Data,Stocks,CAT,800,800,364.2000,363.0000,-960,0,0,0,-960,
Mark-to-Market Performance Summary,Data,Stocks,CCJ,2000,2000,54.8100,51.5800,-6460,0,0,0,-6460,
Mark-to-Market Performance Summary,Data,Stocks,CRM,1000,1000,330.5300,324.9300,-5600,0,0,0,-5600,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,10000,10000,185.1000,188.7200,36200,0,0,0,36200,
Mark-to-Market Performance Summary,Data,Stocks,CWB,38350,38350,79.5300,78.7700,-29146,0,0,0,-29146,
Mark-to-Market Performance Summary,Data,Stocks,D05,50000,50000,43.9500,44.5000,20158.6,0,0,0,20158.6,
Mark-to-Market Performance Summary,Data,Stocks,DBA,55000,55000,26.4300,26.5000,3850,0,0,0,3850,
Mark-to-Market Performance Summary,Data,Stocks,DIA,2000,2000,427.1300,425.3300,-3600,0,0,0,-3600,
Mark-to-Market Performance Summary,Data,Stocks,EPI,50000,50000,45.0600,45.0800,1000,0,0,0,1000,
Mark-to-Market Performance Summary,Data,Stocks,FPE,200000,200000,17.8000,17.6800,-24000,0,0,0,-24000,
Mark-to-Market Performance Summary,Data,Stocks,GLD,69481,69481,243.1900,244.5600,95188.97,0,0,0,95188.97,
Mark-to-Market Performance Summary,Data,Stocks,GOOG,3000,3000,197.9600,196.7100,-3750,0,0,0,-3750,
Mark-to-Market Performance Summary,Data,Stocks,GS,2000,2000,583.3900,580.1200,-6540,0,0,0,-6540,
Mark-to-Market Performance Summary,Data,Stocks,HES,11100,11100,135.9200,138.6100,29859,0,0,0,29859,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,55000,55000,26.2900,26.4300,7700,0,0,0,7700,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,53000,55000,58.1700,54.7900,-179140,-1798.84,-7.577145,0,-180946.417145,
Mark-to-Market Performance Summary,Data,Stocks,ICE,1000,1000,146.5800,146.4400,-140,0,0,0,-140,
Mark-to-Market Performance Summary,Data,Stocks,IGV,11000,11000,101.6800,99.1900,-27390,0,0,0,-27390,
Mark-to-Market Performance Summary,Data,Stocks,IJH,63000,63000,63.0200,62.6100,-25830,0,0,0,-25830,
Mark-to-Market Performance Summary,Data,Stocks,ISTB,21013,21013,47.7400,47.7300,-210.13,0,0,0,-210.13,
Mark-to-Market Performance Summary,Data,Stocks,IWM,36000,36000,224.5200,222.7200,-64800,0,0,0,-64800,
Mark-to-Market Performance Summary,Data,Stocks,JPM,3000,3000,240.8500,243.1700,6960,0,0,0,6960,
Mark-to-Market Performance Summary,Data,Stocks,KO,5000,5000,60.8100,60.8400,150,0,0,0,150,
Mark-to-Market Performance Summary,Data,Stocks,LLY,400,400,765.1000,773.2900,3276,0,0,0,3276,
Mark-to-Market Performance Summary,Data,Stocks,LQD,20000,20000,106.3300,105.8400,-9800,0,0,0,-9800,
Mark-to-Market Performance Summary,Data,Stocks,MBB,4000,4000,91.3800,91.1200,-1040,0,0,0,-1040,
Mark-to-Market Performance Summary,Data,Stocks,MCD,10500,10500,292.1800,289.3400,-29820,0,0,0,-29820,
Mark-to-Market Performance Summary,Data,Stocks,MSFT,1400,1400,427.8500,422.3700,-7672,0,0,0,-7672,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,162800,162800,149.4300,140.1400,-1512412,0,0,0,-1512412,
Mark-to-Market Performance Summary,Data,Stocks,ORCL,1500,1500,165.6900,162.0300,-5490,0,0,0,-5490,
Mark-to-Market Performance Summary,Data,Stocks,PANW,2000,2000,179.5000,175.5100,-7980,0,0,0,-7980,
Mark-to-Market Performance Summary,Data,Stocks,PDD,11400,11400,99.0200,100.6200,18240,0,0,0,18240,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,1500,1500,75.9200,69.9900,-8895,0,0,0,-8895,
Mark-to-Market Performance Summary,Data,Stocks,QQQ,62000,62000,524.5400,515.1800,-580320,0,0,0,-580320,
Mark-to-Market Performance Summary,Data,Stocks,RSP,10000,10000,176.2000,175.6100,-5900,0,0,0,-5900,
Mark-to-Market Performance Summary,Data,Stocks,RTX,5000,5000,114.1000,114.8000,3500,0,0,0,3500,
Mark-to-Market Performance Summary,Data,Stocks,SE,5500,5500,108.4600,106.4200,-11220,0,0,0,-11220,
Mark-to-Market Performance Summary,Data,Stocks,SHYD,12000,12000,22.6000,22.5600,-480,0,0,0,-480,
Mark-to-Market Performance Summary,Data,Stocks,STIP,15000,15000,100.6200,100.6100,-150,0,0,0,-150,
Mark-to-Market Performance Summary,Data,Stocks,TLT,52500,52500,86.9000,85.9200,-51450,0,0,0,-51450,
Mark-to-Market Performance Summary,Data,Stocks,TSM,81500,81500,220.0100,211.4200,-700085,0,0,0,-700085,
Mark-to-Market Performance Summary,Data,Stocks,USHY,40000,40000,36.9900,36.8800,-4400,0,0,0,-4400,
Mark-to-Market Performance Summary,Data,Stocks,VCIT,30000,30000,80.0700,79.8000,-8100,0,0,0,-8100,
Mark-to-Market Performance Summary,Data,Stocks,VKTX,2000,2000,42.5300,41.6600,-1740,0,0,0,-1740,
Mark-to-Market Performance Summary,Data,Stocks,XHB,5500,5500,104.6800,103.2600,-7810,0,0,0,-7810,
Mark-to-Market Performance Summary,Data,Stocks,XLE,67500,67500,87.0700,87.9400,58725,0,0,0,58725,
Mark-to-Market Performance Summary,Data,Stocks,XLF,199563,199563,48.4400,48.3300,-21951.93,0,0,0,-21951.93,
Mark-to-Market Performance Summary,Data,Stocks,XLK,24100,24100,238.7500,233.9600,-115439,0,0,0,-115439,
Mark-to-Market Performance Summary,Data,Stocks,XLU,6000,6000,76.2200,76.0300,-1140,0,0,0,-1140,
Mark-to-Market Performance Summary,Data,Stocks,XLV,31500,31500,139.0200,139.7100,21735,0,0,0,21735,
Mark-to-Market Performance Summary,Data,Stocks,XME,13500,13500,58.2300,58.0700,-2160,0,0,0,-2160,
Mark-to-Market Performance Summary,Data,Stocks,XSW,4300,4300,194.5200,190.3700,-17845,0,0,0,-17845,
Mark-to-Market Performance Summary,Data,Stocks,Z74,200000,200000,3.0800,3.0700,-1466.08,0,0,0,-1466.08,
Mark-to-Market Performance Summary,Data,Total,,,,,,-3509056.8475,-4370.64,-365.402570573,0,-3513792.890070573,
Mark-to-Market Performance Summary,Data,Equity and Index Options,700 27JAN25 370 P,0,-15,--,7.0500,0,-738.74955,-8.10117,0,-746.85072,
Mark-to-Market Performance Summary,Data,Equity and Index Options,700 27JAN25 380 P,0,-15,--,10.6000,0,-975.9981,-8.10117,0,-984.09927,
Mark-to-Market Performance Summary,Data,Equity and Index Options,ANF 10JAN25 155 P,-5,-5,2.7250,4.5309,-902.95,0,0,0,-902.95,
Mark-to-Market Performance Summary,Data,Equity and Index Options,ANF 10JAN25 157.5 C,-5,-5,3.0090,1.1633,922.85,0,0,0,922.85,
Mark-to-Market Performance Summary,Data,Equity and Index Options,BX 10JAN25 175 P,-5,-5,2.1249,4.2447,-1059.9,0,0,0,-1059.9,
Mark-to-Market Performance Summary,Data,Equity and Index Options,CAT 10JAN25 350 P,-10,-10,0.3292,0.3109,18.3,0,0,0,18.3,
Mark-to-Market Performance Summary,Data,Equity and Index Options,CAT 10JAN25 362.5 C,-4,-4,4.8192,3.5784,496.32,0,0,0,496.32,
Mark-to-Market Performance Summary,Data,Equity and Index Options,GOOG 10JAN25 195 C,-10,-10,3.9479,3.1000,847.9,0,0,0,847.9,
Mark-to-Market Performance Summary,Data,Equity and Index Options,IJH 17JAN25 63 C,-15,-15,0.8766,0.5750,452.4,0,0,0,452.4,
Mark-to-Market Performance Summary,Data,Equity and Index Options,JPM 10JAN25 242.5 P,-10,-10,2.9273,1.5850,1342.3,0,0,0,1342.3,
Mark-to-Market Performance Summary,Data,Equity and Index Options,JPM 10JAN25 245 C,-10,-10,0.7350,1.2100,-475,0,0,0,-475,
Mark-to-Market Performance Summary,Data,Equity and Index Options,MCD 17JAN25 315 C,10,10,0.1027,0.0601,-42.6,0,0,0,-42.6,
Mark-to-Market Performance Summary,Data,Equity and Index Options,MSFT 10JAN25 420 P,-3,-3,0.9600,2.2104,-375.12,0,0,0,-375.12,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 10JAN25 145 C,-100,-100,6.1282,0.9250,52032,0,0,0,52032,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 10JAN25 145 P,-100,-100,1.6150,5.7192,-41042,0,0,0,-41042,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 10JAN25 150 C,-200,-200,3.2624,0.2750,59748,0,0,0,59748,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 10JAN25 152.5 C,-100,-100,2.2610,0.1550,21060,0,0,0,21060,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 10JAN25 157.5 C,-100,-100,0.9500,0.0650,8850,0,0,0,8850,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 17JAN25 130 P,-100,-100,0.4500,1.0900,-6400,0,0,0,-6400,
Mark-to-Market Performance Summary,Data,Equity and Index Options,ORCL 10JAN25 162.5 P,-5,-5,0.7500,1.9693,-609.65,0,0,0,-609.65,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PANW 10JAN25 180 P,-5,-5,2.3200,5.0639,-1371.95,0,0,0,-1371.95,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PDD 10JAN25 106 C,-10,-10,0.2200,0.2759,-55.9,0,0,0,-55.9,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PLTR 10JAN25 75 P,-10,-10,1.4850,5.2848,-3799.8,0,0,0,-3799.8,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PLTR 10JAN25 80 C,-5,-5,0.6400,0.0754,282.3,0,0,0,282.3,
