Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 13, 2025"
Statement,Data,WhenGenerated,"2025-01-14, 01:50:39 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-132343564.61209399,1197603.381052751,-133637899.96944489,-132440296.58839214,-96731.976298153
Net Asset Value,Data,Stock,194404197.7835,192574667.909,0,192574667.909,-1829529.874499977
Net Asset Value,Data,Options,-167875.57975,512783.8,-43210.2248,469573.5752,637449.15495
Net Asset Value,Data,Interest Accruals,-165517.4970396,0,-220734.422058,-220734.422058,-55216.9250184
Net Asset Value,Data,Dividend Accruals,43845.3788927,43230.0367821,-234.28,42995.7567821,-849.6221106
Net Asset Value,Data,Total,61771085.47350912,194328285.12683487,-133902078.8963029,60426206.230531976,-1344879.242977142
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-2.177198656%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,61771085.47350912
Change in NAV,Data,Mark-to-Market,-1289062.67070314
Change in NAV,Data,Dividends,1222.69
Change in NAV,Data,Withholding Tax,-366.81
Change in NAV,Data,Change in Dividend Accruals,-855.88
Change in NAV,Data,Change in Interest Accruals,-55213.8848208
Change in NAV,Data,Commissions,-566.020476465
Change in NAV,Data,Transaction Fees,-39.884668551
Change in NAV,Data,Other FX Translations,3.2176918
Change in NAV,Data,Ending Value,60426206.230531976
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,21.5500,22.0000,10980.765,0,0,0,10980.765,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,251.4000,249.2000,-7204.923,0,0,0,-7204.923,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.2100,4.1700,-13485.15,0,0,0,-13485.15,
Mark-to-Market Performance Summary,Data,Stocks,1810,150000,150000,33.5500,32.8000,-14448.375,0,0,0,-14448.375,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,78.1000,78.0000,-64.215,0,0,0,-64.215,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,41.0000,40.9500,-802.6875,0,0,0,-802.6875,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,53.4500,52.0000,-3724.47,0,0,0,-3724.47,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,70.5400,70.0600,-26816.184,0,0,0,-26816.184,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,8.9350,8.8400,-7320.51,0,0,0,-7320.51,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,140.1000,137.4000,-4334.5125,0,0,0,-4334.5125,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,514.5000","1,514.5000",0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,6181,1000,2000,288.4000,296.4000,1027.44,-488.034,-62.214086286,0,477.191913714,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,810.0000","3,810.0000",0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,11.9400,12.0800,4315.248,0,0,0,4315.248,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,369.6000,366.0000,-19187.442,0,0,0,-19187.442,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,18.8200,19.2400,26970.3,0,0,0,26970.3,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,74.8000,74.1500,-10434.9375,0,0,0,-10434.9375,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,130.9000,129.0000,-3050.2125,0,0,0,-3050.2125,
