Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 16, 2025"
Statement,Data,WhenGenerated,"2025-01-17, 00:18:26 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-131627839.12078479,1222685.521053098,-132955210.0736729,-131732524.55261981,-104685.431835026
Net Asset Value,Data,Stock,196596370.7085,197252118.667,0,197252118.667,655747.958499998
Net Asset Value,Data,Options,337999.56705,353183.1,-36898.2776,316284.8224,-21714.74465
Net Asset Value,Data,Interest Accruals,-258113.6904964,0,-276374.5126028,-276374.5126028,-18260.8221064
Net Asset Value,Data,Dividend Accruals,42995.7567821,43226.9078374,-234.28,42992.6278374,-3.1289447
Net Asset Value,Data,Total,65091413.22105087,198871214.1958905,-133268717.14387572,65602497.05201477,511083.830963895
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.785178575%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,65091413.22105087
Change in NAV,Data,Mark-to-Market,529347.78201495
Change in NAV,Data,Change in Interest Accruals,-18259.0066738
Change in NAV,Data,Other FX Translations,-4.9443773
Change in NAV,Data,Ending Value,65602497.05201477
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.4000,22.6000,4879.96,0,0,0,4879.96,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,258.8000,261.0000,7204.362,0,0,0,7204.362,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.2100,4.2400,10113.075,0,0,0,10113.075,
Mark-to-Market Performance Summary,Data,Stocks,1810,150000,150000,33.6000,34.3500,14447.25,0,0,0,14447.25,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,78.2500,79.2000,609.995,0,0,0,609.995,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,41.1500,41.7000,8828.875,0,0,0,8828.875,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,52.2500,52.4500,513.68,0,0,0,513.68,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,71.7800,72.7200,52510.938,0,0,0,52510.938,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.1350,9.2450,8475.72,0,0,0,8475.72,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,144.5000,147.6000,4976.275,0,0,0,4976.275,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,546.5000","1,533.5000",-837.98,0,0,0,-837.98,
Mark-to-Market Performance Summary,Data,Stocks,6181,2000,2000,281.0000,295.0000,3595.76,0,0,0,3595.76,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,725.0000","3,688.0000",-3577.53,0,0,0,-3577.53,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.4200,12.6200,6164.16,0,0,0,6164.16,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,380.0000,382.4000,12790.632,0,0,0,12790.632,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,19.5000,19.7800,17978.8,0,0,0,17978.8,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,74.5000,75.3500,13644.625,0,0,0,13644.625,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,137.1000,140.1000,4815.75,0,0,0,4815.75,
Mark-to-Market Performance Summary,Data,Stocks,992,50000,50000,9.1800,9.2900,706.31,0,0,0,706.31,
