Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 21, 2025"
Statement,Data,WhenGenerated,"2025-01-21, 22:48:35 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-130943466.15385848,1397567.171053578,-132123958.42076825,-130726391.24971467,217074.90414381
Net Asset Value,Data,Stock,198808692.08449998,201396288.22750002,0,201396288.22750002,2587596.143000036
Net Asset Value,Data,Options,136264.6532,257845,-190624.89375,67220.10625,-69044.54695
Net Asset Value,Data,Interest Accruals,-294321.0584866,0,-367073.5070468,-367073.5070468,-72752.4485602
Net Asset Value,Data,Dividend Accruals,43480.5962291,44253.2646715,-8.1,44245.1646715,764.5684424
Net Asset Value,Data,Total,67750650.12158401,203095953.6632251,-132681664.92156504,70414288.74166007,2663638.62007606
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,3.931532192%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,67750650.12158401
Change in NAV,Data,Mark-to-Market,2736117.297991419
Change in NAV,Data,Change in Dividend Accruals,789.6
Change in NAV,Data,Change in Interest Accruals,-72758.1220528
Change in NAV,Data,Commissions,-490.7977976
Change in NAV,Data,Other FX Translations,-19.358065
Change in NAV,Data,Ending Value,70414288.74166007
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,23.4500,23.7500,7321.65,0,0,0,7321.65,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,275.0000,279.6000,15067.185,0,0,0,15067.185,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.1700,4.2300,20230.875,0,0,0,20230.875,
Mark-to-Market Performance Summary,Data,Stocks,1810,150000,150000,34.7000,35.9000,23121,0,0,0,23121,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,81.0500,81.7500,449.575,0,0,0,449.575,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,42.7000,43.1500,7225.3125,0,0,0,7225.3125,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,55.6500,55.7500,256.9,0,0,0,256.9,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,74.0800,74.9400,48053.145,0,0,0,48053.145,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.6300,9.8450,16570.05,0,0,0,16570.05,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,155.5000,158.5000,4816.875,0,0,0,4816.875,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,532.5000","1,548.0000",996.6345,0,0,0,996.6345,
Mark-to-Market Performance Summary,Data,Stocks,6181,2000,2000,304.8000,337.2000,8323.56,0,0,0,8323.56,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,799.0000","3,773.0000",-2507.661,0,0,0,-2507.661,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.5000,12.4800,-616.56,0,0,0,-616.56,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,389.8000,387.4000,-12793.62,0,0,0,-12793.62,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,19.0800,18.9400,-8991.5,0,0,0,-8991.5,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,75.4000,75.4000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,157.4000,158.4000,1605.625,0,0,0,1605.625,
Mark-to-Market Performance Summary,Data,Stocks,992,50000,50000,9.4000,9.4100,64.225,0,0,0,64.225,
Mark-to-Market Performance Summary,Data,Stocks,9961,9500,9500,531.0000,539.0000,9762.2,0,0,0,9762.2,
Mark-to-Market Performance Summary,Data,Stocks,9988,30000,30000,84.5500,84.8000,963.375,0,0,0,963.375,
Mark-to-Market Performance Summary,Data,Stocks,9CI,400000,400000,2.4800,2.4900,2957.72,0,0,0,2957.72,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,2000,2000,229.9800,222.6400,-14680,0,0,0,-14680,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,2000,2000,225.9400,230.7100,9540,0,0,0,9540,
Mark-to-Market Performance Summary,Data,Stocks,ANF,500,500,130.3500,126.2800,-2035,0,0,0,-2035,
