Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 24, 2025"
Statement,Data,WhenGenerated,"2025-01-26, 21:03:42 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-129084625.06372751,817287.901053723,-129950021.61244906,-129132733.71139534,-48108.647667825
Net Asset Value,Data,Stock,202237523.70850003,201448938.761,0,201448938.761,-788584.94750002
Net Asset Value,Data,Options,-325468.8577,50400,-224216.9034,-173816.9034,151651.9543
Net Asset Value,Data,Interest Accruals,-402603.0009843,0,-420134.4025108,-420134.4025108,-17531.4015265
Net Asset Value,Data,Dividend Accruals,52077.2620586,11495.97,-8.1,11487.87,-40589.3920586
Net Asset Value,Data,Total,72476904.04814681,202328122.63205373,-130594381.01835987,71733741.61369386,-743162.434452951
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-1.025378283%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,72476904.04814681
Change in NAV,Data,Mark-to-Market,-725643.54870523
Change in NAV,Data,Dividends,43086.8490706
Change in NAV,Data,Withholding Tax,-2484.9412332
Change in NAV,Data,Change in Dividend Accruals,-40601.9078374
Change in NAV,Data,Change in Interest Accruals,-17470.1287783
Change in NAV,Data,Other FX Translations,-48.7569694
Change in NAV,Data,Ending Value,71733741.61369386
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.8500,23.2500,9759.92,0,0,0,9759.92,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,270.6000,274.4000,12443.898,0,0,0,12443.898,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.2300,4.2200,-3371.025,0,0,40181.9078374,36810.8828374,
Mark-to-Market Performance Summary,Data,Stocks,1810,150000,150000,34.5000,36.8500,45268.05,0,0,0,45268.05,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,78.5000,81.5000,1926.3,0,0,0,1926.3,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,42.7500,43.5000,12039.375,0,0,0,12039.375,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,54.3000,55.8500,3981.02,0,0,0,3981.02,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,73.3600,74.9200,87145.812,0,0,0,87145.812,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.4650,9.7450,21574.56,0,0,0,21574.56,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,151.1000,150.0000,-1765.775,0,0,0,-1765.775,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,547.0000","1,569.0000",1410.398,0,0,0,1410.398,
Mark-to-Market Performance Summary,Data,Stocks,6181,2000,2000,355.4000,367.6000,3133.448,0,0,0,3133.448,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"4,045.0000","4,034.0000",-1057.7985,0,0,0,-1057.7985,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.1400,12.2200,2465.664,0,0,0,2465.664,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,381.2000,390.6000,50096.642,0,0,0,50096.642,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,18.6200,18.4600,-10273.6,0,0,0,-10273.6,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,74.8500,75.3000,7223.625,0,0,0,7223.625,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,151.2000,155.7000,7223.625,0,0,0,7223.625,
Mark-to-Market Performance Summary,Data,Stocks,992,50000,50000,9.2000,9.4700,1733.67,0,0,0,1733.67,
Mark-to-Market Performance Summary,Data,Stocks,9961,9500,9500,514.0000,541.0000,32939.73,0,0,0,32939.73,
Mark-to-Market Performance Summary,Data,Stocks,9988,30000,30000,82.9000,84.7500,7127.31,0,0,0,7127.31,
Mark-to-Market Performance Summary,Data,Stocks,9CI,400000,400000,2.4400,2.4400,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,2000,2000,223.6600,222.7800,-1760,0,0,0,-1760,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,2000,2000,235.4200,234.8500,-1140,0,0,0,-1140,
Mark-to-Market Performance Summary,Data,Stocks,ANF,500,500,124.1500,123.4200,-365,0,0,0,-365,
Mark-to-Market Performance Summary,Data,Stocks,ASML,500,500,746.2400,732.2500,-6995,0,0,0,-6995,
Mark-to-Market Performance Summary,Data,Stocks,BILI,2500,2500,16.4300,16.8900,1150,0,0,0,1150,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,2000,2000,459.8300,463.1900,6720,0,0,0,6720,
Mark-to-Market Performance Summary,Data,Stocks,BX,2000,2000,185.5200,186.7400,2440,0,0,0,2440,
Mark-to-Market Performance Summary,Data,Stocks,CAT,800,800,406.4000,407.6300,984,0,0,0,984,
Mark-to-Market Performance Summary,Data,Stocks,CCJ,2000,2000,56.8600,56.0000,-1720,0,0,0,-1720,
Mark-to-Market Performance Summary,Data,Stocks,CRM,1000,1000,334.6600,333.8800,-780,0,0,0,-780,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,10000,10000,197.8000,197.3900,-4100,0,0,0,-4100,
Mark-to-Market Performance Summary,Data,Stocks,CWB,38350,38350,80.4700,80.5400,2684.5,0,0,0,2684.5,
Mark-to-Market Performance Summary,Data,Stocks,D05,50000,50000,43.8100,43.5100,-11144.1,0,0,0,-11144.1,
Mark-to-Market Performance Summary,Data,Stocks,DBA,55000,55000,27.2600,27.3600,5500,0,0,0,5500,
Mark-to-Market Performance Summary,Data,Stocks,DIA,2000,2000,445.3800,444.1200,-2520,0,0,0,-2520,
Mark-to-Market Performance Summary,Data,Stocks,EPI,30000,30000,43.9500,43.5500,-12000,0,0,0,-12000,
Mark-to-Market Performance Summary,Data,Stocks,FPE,150000,150000,17.7400,17.7200,-3000,0,0,0,-3000,
Mark-to-Market Performance Summary,Data,Stocks,GLD,69481,69481,254.0700,255.6500,109779.98,0,0,0,109779.98,
Mark-to-Market Performance Summary,Data,Stocks,GOOG,3000,3000,199.5800,201.9000,6960,0,0,0,6960,
Mark-to-Market Performance Summary,Data,Stocks,GS,2000,2000,639.5000,636.9000,-5200,0,0,0,-5200,
Mark-to-Market Performance Summary,Data,Stocks,HES,11100,11100,144.8600,144.4000,-5106,0,0,0,-5106,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,55000,55000,27.4700,27.6500,9900,0,0,0,9900,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,55000,55000,58.7900,59.7000,50050,0,0,0,50050,
Mark-to-Market Performance Summary,Data,Stocks,ICE,1000,1000,157.6800,157.4700,-210,0,0,0,-210,
Mark-to-Market Performance Summary,Data,Stocks,IGV,11000,11000,104.2900,103.8500,-4840,0,0,0,-4840,
Mark-to-Market Performance Summary,Data,Stocks,IJH,61500,61500,65.4900,65.4000,-5535,0,0,0,-5535,
Mark-to-Market Performance Summary,Data,Stocks,ISTB,21013,21013,47.8700,47.9100,840.52,0,0,0,840.52,
Mark-to-Market Performance Summary,Data,Stocks,IWM,36000,36000,229.3300,228.6900,-23040,0,0,0,-23040,
Mark-to-Market Performance Summary,Data,Stocks,JPM,4000,4000,265.9500,264.8400,-4440,0,0,0,-4440,
Mark-to-Market Performance Summary,Data,Stocks,KO,5000,5000,61.5300,61.9200,1950,0,0,0,1950,
Mark-to-Market Performance Summary,Data,Stocks,LLY,400,400,766.6000,785.4100,7524,0,0,0,7524,
Mark-to-Market Performance Summary,Data,Stocks,LQD,20000,20000,106.9100,107.1200,4200,0,0,0,4200,
Mark-to-Market Performance Summary,Data,Stocks,MBB,4000,4000,91.5300,91.6500,480,0,0,0,480,
Mark-to-Market Performance Summary,Data,Stocks,MCD,5000,5000,284.4300,285.4600,5150,0,0,0,5150,
Mark-to-Market Performance Summary,Data,Stocks,MSFT,1700,1700,446.7100,444.0600,-4505,0,0,0,-4505,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,172800,172800,147.2200,142.6200,-794880,0,0,0,-794880,
Mark-to-Market Performance Summary,Data,Stocks,ORCL,2000,2000,186.4700,183.6000,-5740,0,0,420,-5320,
Mark-to-Market Performance Summary,Data,Stocks,PANW,2500,2500,187.3200,187.7000,950,0,0,0,950,
Mark-to-Market Performance Summary,Data,Stocks,PDD,10000,10000,104.0100,111.3400,73300,0,0,0,73300,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,2500,2500,78.9800,78.9800,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,QQQ,60000,60000,532.6400,529.6300,-180600,0,0,0,-180600,
Mark-to-Market Performance Summary,Data,Stocks,RTX,5000,5000,126.2900,125.3100,-4900,0,0,0,-4900,
Mark-to-Market Performance Summary,Data,Stocks,SHYD,12000,12000,22.6600,22.6800,240,0,0,0,240,
Mark-to-Market Performance Summary,Data,Stocks,SNOW,500,500,174.9400,174.1200,-410,0,0,0,-410,
Mark-to-Market Performance Summary,Data,Stocks,STIP,15000,15000,101.1300,101.2000,1050,0,0,0,1050,
Mark-to-Market Performance Summary,Data,Stocks,TLT,52500,52500,86.8300,87.2200,20475,0,0,0,20475,
Mark-to-Market Performance Summary,Data,Stocks,TSM,96500,96500,224.6200,221.8800,-264410,0,0,0,-264410,
Mark-to-Market Performance Summary,Data,Stocks,USHY,40000,40000,37.2700,37.2900,800,0,0,0,800,
Mark-to-Market Performance Summary,Data,Stocks,VCIT,30000,30000,80.3000,80.4200,3600,0,0,0,3600,
Mark-to-Market Performance Summary,Data,Stocks,VKTX,1000,1000,34.9400,34.5000,-440,0,0,0,-440,
Mark-to-Market Performance Summary,Data,Stocks,XHB,5500,5500,111.9100,111.1700,-4070,0,0,0,-4070,
Mark-to-Market Performance Summary,Data,Stocks,XLE,67500,67500,92.2000,91.3100,-60075,0,0,0,-60075,
Mark-to-Market Performance Summary,Data,Stocks,XLF,199563,199563,50.7000,50.8500,29934.45,0,0,0,29934.45,
Mark-to-Market Performance Summary,Data,Stocks,XLK,24100,24100,241.8200,239.3000,-60732,0,0,0,-60732,
Mark-to-Market Performance Summary,Data,Stocks,XLU,6000,6000,78.6900,79.4900,4800,0,0,0,4800,
Mark-to-Market Performance Summary,Data,Stocks,XLV,31500,31500,144.0800,144.3100,7245,0,0,0,7245,
Mark-to-Market Performance Summary,Data,Stocks,XME,13500,13500,60.8100,60.6900,-1620,0,0,0,-1620,
Mark-to-Market Performance Summary,Data,Stocks,XSW,4300,4300,193.8700,193.7600,-473,0,0,0,-473,
Mark-to-Market Performance Summary,Data,Stocks,Z74,200000,200000,3.1100,3.2000,13372.92,0,0,0,13372.92,
Mark-to-Market Performance Summary,Data,Total,,,,,,-813644.8815,0,0,40601.9078374,-773042.9736626,
Mark-to-Market Performance Summary,Data,Equity and Index Options,1211 24JAN25 280 C,-10,0,0.1600,--,102.736,0,0,0,102.736,
Mark-to-Market Performance Summary,Data,Equity and Index Options,1211 27JAN25 300 C,-10,-10,0.0100,0.0100,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Equity and Index Options,1810 27JAN25 35 P,-10,-10,0.7700,0.0100,975.992,0,0,0,975.992,
Mark-to-Market Performance Summary,Data,Equity and Index Options,2020 27JAN25 85 C,-10,-10,0.0300,0.1400,-28.2524,0,0,0,-28.2524,
Mark-to-Market Performance Summary,Data,Equity and Index Options,2828 27FEB25 80 C,-50,-50,0.3400,0.5700,-1476.83,0,0,0,-1476.83,
Mark-to-Market Performance Summary,Data,Equity and Index Options,700 27JAN25 370 P,-15,-15,0.9600,0.2600,134.841,0,0,0,134.841,
