Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"February 28, 2025"
Statement,Data,WhenGenerated,"2025-08-05, 22:12:49 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,3745847.996939603,3746605.737324988,-1376.120399982,3745229.616925006,-618.380014597
Net Asset Value,Data,Stock,62893750,62906250,0,62906250,12500
Net Asset Value,Data,Options,28822.2,32039.3,0,32039.3,3217.1
Net Asset Value,Data,Interest Accruals,20951.5270417,28017.2207738,-6753.6243,21263.5964738,312.0694321
Net Asset Value,Data,Total,66689371.723981306,66712912.25809879,-8129.744699982,66704782.513398804,15410.789417498
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.023108314%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,66689371.723981306
Change in NAV,Data,Mark-to-Market,15098.71998542
Change in NAV,Data,Change in Interest Accruals,312.1304452
Change in NAV,Data,Other FX Translations,-0.0610131
Change in NAV,Data,Ending Value,66704782.513398804
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,SGOV,625000,625000,100.6300,100.6500,12500,0,0,0,12500,
Mark-to-Market Performance Summary,Data,Total,,,,,,12500,0,0,0,12500,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 16JAN26 110 C,10,10,28.8222,32.0393,3217.1,0,0,0,3217.1,
Mark-to-Market Performance Summary,Data,Total,,,,,,3217.1,0,0,0,3217.1,
Mark-to-Market Performance Summary,Data,Forex,CAD,0.000004515,0.000004515,0.69271,0.69128,-0.00000001,0,0,0,-0.00000001,
Mark-to-Market Performance Summary,Data,Forex,CHF,-0.000029287,-0.000029287,1.1115,1.1071,0.00000013,0,0,0,0.00000013,
Mark-to-Market Performance Summary,Data,Forex,EUR,-2.627642087,-2.627642087,1.0399,1.0376,0.00604358,0,0,0,0.00604358,
Mark-to-Market Performance Summary,Data,Forex,HKD,23896360.55482404,23896360.55482404,0.12857,0.12856,-238.96360555,0,0,0,-238.96360555,
Mark-to-Market Performance Summary,Data,Forex,JPY,8325646.1358602,8325646.1358602,0.0066754,0.0066392,-301.38839011,0,0,0,-301.38839011,
Mark-to-Market Performance Summary,Data,Forex,MXN,-0.00382842,-0.00382842,0.048805,0.048675,0.0000005,0,0,0,0.0000005,
Mark-to-Market Performance Summary,Data,Forex,SEK,0.000335185,0.000335185,0.092985,0.092857,-0.00000004,0,0,0,-0.00000004,
Mark-to-Market Performance Summary,Data,Forex,SGD,53084.39665738,53084.39665738,0.74161,0.74014,-78.03406308,0,0,0,-78.03406308,
Mark-to-Market Performance Summary,Data,Forex,USD,578550.715455586,578550.715455586,1.0000,1.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total,,,,,,-618.38001458,0,0,0,-618.38001458,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,15098.71998542,0,0,0,15098.71998542,
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,SGOV,0,0,0,0,0,0,190495.788397,0,0,0,190495.788397,190495.788397,
Realized & Unrealized Performance Summary,Data,Total,,0,0,0,0,0,0,190495.788397,0,0,0,190495.788397,190495.788397,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NVDA 16JAN26 110 C,0,0,0,0,0,0,1182.3475,0,0,0,1182.3475,1182.3475,
Realized & Unrealized Performance Summary,Data,Total,,0,0,0,0,0,0,1182.3475,0,0,0,1182.3475,1182.3475,
Realized & Unrealized Performance Summary,Data,Forex,EUR,0,0,0,0,0,0,0.882519,-0.097706,0,0,0.784813,0.784813,
Realized & Unrealized Performance Summary,Data,Forex,HKD,0,0,0,0,0,0,3821.746916082,-2.300252,0,0,3819.446664082,3819.446664082,
Realized & Unrealized Performance Summary,Data,Forex,JPY,0,0,0,0,0,0,1392.880598856,-0.000001,0,0,1392.880597856,1392.880597856,
Realized & Unrealized Performance Summary,Data,Forex,SGD,0,0,0,0,0,0,0,-188.980453711,0,0,-188.980453711,-188.980453711,
Realized & Unrealized Performance Summary,Data,Total,,0,0,0,0,0,0,5215.510033938,-191.378433711,0,0,5024.131600227,5024.131600227,
Realized & Unrealized Performance Summary,Data,Total (All Assets),,0,0,0,0,0,0,196893.645930938,-191.378433711,0,0,196702.267497227,196702.267497227,
Month & Year to Date Performance Summary,Header,Asset Category,Symbol,Description,Mark-to-Market MTD,Mark-to-Market YTD,Realized S/T MTD,Realized S/T YTD,Realized L/T MTD,Realized L/T YTD
Month & Year to Date Performance Summary,Data,Stocks,1109,CHINA RESOURCES LAND LTD,0,25307.2613807,0,-148806.63878154,0,0
Month & Year to Date Performance Summary,Data,Stocks,1211,BYD CO LTD-H,0,23471.3471514,0,-7430.44679365,0,0
Month & Year to Date Performance Summary,Data,Stocks,1288,AGRICULTURAL BANK OF CHINA-H,0,673.71625804,0,310174.10160029,0,0
Month & Year to Date Performance Summary,Data,Stocks,1810,XIAOMI CORP-CLASS B,0,44936.85151396,0,114509.49597138,0,0
Month & Year to Date Performance Summary,Data,Stocks,2020,ANTA SPORTS PRODUCTS LTD,0,2523.09854408,0,-1480.03069392,0,0
Month & Year to Date Performance Summary,Data,Stocks,2318,PING AN INSURANCE GROUP CO-H,0,-31688.6879515,0,82621.16706532,0,0
Month & Year to Date Performance Summary,Data,Stocks,2359,WUXI APPTEC CO LTD-H,0,-934.84627906,0,-1036.83321642,0,0
Month & Year to Date Performance Summary,Data,Stocks,2828,HANGSENG CHINA ENT INDEX-HKD,0,82795.8861845,0,627004.13481224,0,0
Month & Year to Date Performance Summary,Data,Stocks,3067,ISHARES HANG SENG TECH E-HKD,0,36901.950222,0,132066.68304972,0,0
Month & Year to Date Performance Summary,Data,Stocks,3690,MEITUAN-CLASS B,0,86.61814,0,-19608.2529,0,0
Month & Year to Date Performance Summary,Data,Stocks,6178.T,JAPAN POST HOLDINGS CO LTD,0,6905.25610209,0,10845.26172611,0,0
Month & Year to Date Performance Summary,Data,Stocks,6181,LAOPU GOLD CO L-H,0,23655.91609296,0,23649.0353754,0,0
Month & Year to Date Performance Summary,Data,Stocks,6501.T,HITACHI LTD,0,253.66980566,0,42473.78785616,0,0
Month & Year to Date Performance Summary,Data,Stocks,688,CHINA OVERSEAS LAND & INVEST,0,-4936.76230848,0,-92502.63938852,0,0
Month & Year to Date Performance Summary,Data,Stocks,700,TENCENT HOLDINGS LTD,0,-119390.48590956,0,-7865.53591554,0,82417.3006081
Month & Year to Date Performance Summary,Data,Stocks,883,CNOOC LTD,0,-31669.31983408,0,-197459.31001914,0,0
Month & Year to Date Performance Summary,Data,Stocks,941,CHINA MOBILE LTD,0,-16380.46444806,0,26325.61277835,0,0
Month & Year to Date Performance Summary,Data,Stocks,9618,JD.COM INC-CLASS A,0,34736.96383345,0,3217.52005095,0,0
Month & Year to Date Performance Summary,Data,Stocks,992,LENOVO GROUP LTD,0,-3824.710814,0,-14728.90203,0,0
Month & Year to Date Performance Summary,Data,Stocks,9961,TRIP.COM GROUP LTD,0,17289.837894,0,121944.10683404,0,0
Month & Year to Date Performance Summary,Data,Stocks,9988,ALIBABA GROUP HOLDING LTD,0,19490.20702101,0,-3601.83634078,0,4210.10227461
Month & Year to Date Performance Summary,Data,Stocks,9CI,CAPITALAND INVESTMENT LTD/SI,0,-68427.8383076,0,-181740.63671331,0,0
Month & Year to Date Performance Summary,Data,Stocks,AAPL,APPLE INC,0,-61558.80088917,0,-37146.05103817,0,0
Month & Year to Date Performance Summary,Data,Stocks,AMZN,AMAZON.COM INC,0,19934.69802978,0,-2504.25711422,0,0
Month & Year to Date Performance Summary,Data,Stocks,ANF,ABERCROMBIE & FITCH CO-CL A,0,-12956.74299828,0,-10137.34642828,0,0
Month & Year to Date Performance Summary,Data,Stocks,ASML,ASML HOLDING NV-NY REG SHS,0,8893.90414298,0,-2122.98114202,0,0
Month & Year to Date Performance Summary,Data,Stocks,BILI,BILIBILI INC-SPONSORED ADR,0,-3047.98060539,0,-4539.30785639,0,0
Month & Year to Date Performance Summary,Data,Stocks,BRK B,BERKSHIRE HATHAWAY INC-CL B,0,9157.62176291,0,-38371.73387709,0,0
Month & Year to Date Performance Summary,Data,Stocks,BX,BLACKSTONE INC,0,14450.578955,0,-15030.345459,0,0
Month & Year to Date Performance Summary,Data,Stocks,CAT,CATERPILLAR INC,789.6,34782.82170874,0,33993.22171074,0,0
Month & Year to Date Performance Summary,Data,Stocks,CCJ,CAMECO CORP,0,5510.66330527,0,-1235.44829273,0,0
Month & Year to Date Performance Summary,Data,Stocks,CRM,SALESFORCE INC,0,-9013.18283445,0,-34215.73340645,0,0
Month & Year to Date Performance Summary,Data,Stocks,CTAS,CINTAS CORP,0,122986.28246187,0,-15357.09592913,0,0
Month & Year to Date Performance Summary,Data,Stocks,CWB,SPDR BLOOMBERG CONVERTIBLE S,10180.39,82169.3141834,0,0,0,331837.5807144
Month & Year to Date Performance Summary,Data,Stocks,D05,DBS GROUP HOLDINGS LTD,0,-6748.23067944,0,212759.18695489,0,0
Month & Year to Date Performance Summary,Data,Stocks,DBA,INVESCO DB AGRICULTURE FUND,0,33298.20097772,0,100732.77821372,0,0
Month & Year to Date Performance Summary,Data,Stocks,DIA,SPDR DJIA TRUST,227.37,31264.672892,0,5267.191001,0,0
Month & Year to Date Performance Summary,Data,Stocks,DXJ,WISDOMTREE JAPAN HEDGED EQ,0,0.02,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,EPI,WISDOMTREE INDIA EARNINGS,0,-113232.88696573,0,-325635.4656318,0,0
Month & Year to Date Performance Summary,Data,Stocks,FPE,FT-PREFERRED SECUR & INC ETF,0,3999.00616328,0,-47226.02433972,0,0
Month & Year to Date Performance Summary,Data,Stocks,GLD,SPDR GOLD SHARES,0,824041.969024,0,1977107.566756,0,0
Month & Year to Date Performance Summary,Data,Stocks,GOOG,ALPHABET INC-CL C,0,18126.38532094,0,35703.08670644,0,0
Month & Year to Date Performance Summary,Data,Stocks,GS,GOLDMAN SACHS GROUP INC,0,116388.41602177,0,90145.04592977,0,0
Month & Year to Date Performance Summary,Data,Stocks,HES,HESS CORP,0,78063.99161625,0,-83032.27274375,0,0
Month & Year to Date Performance Summary,Data,Stocks,HYD,VANECK HIGH YIELD MUNI ETF,2.56,0,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,IAUM,ISHARES GOLD TRUST MICRO,0,72817.6510125,0,212416.0024375,0,0
