Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"March 28, 2025"
Statement,Data,WhenGenerated,"2025-08-05, 22:21:31 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,3286549.669636287,2303040.207526095,-2850.668544234,2300189.538981861,-986360.130654425
Net Asset Value,Data,Stock,63469252.31071,64335509.50895,0,64335509.50895,866257.198240004
Net Asset Value,Data,Options,21562.7,20744.5,0,20744.5,-818.2
Net Asset Value,Data,Interest Accruals,6407.466538,8340.5137473,-1705.1,6635.4137473,227.9472093
Net Asset Value,Data,Dividend Accruals,348.95,646.63,0,646.63,297.68
Net Asset Value,Data,Total,66784121.096884295,66668281.3602234,-4555.768544234,66663725.59167916,-120395.505205132
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.180263135%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,66784121.096884295
Change in NAV,Data,Mark-to-Market,-121094.95766096
Change in NAV,Data,Deposits & Withdrawals,-8.37
Change in NAV,Data,Dividends,498.5
Change in NAV,Data,Withholding Tax,-149.55
Change in NAV,Data,Change in Dividend Accruals,297.68
Change in NAV,Data,Change in Interest Accruals,229.3
Change in NAV,Data,Commissions,-91.616074798
Change in NAV,Data,Transaction Fees,-75.138678638
Change in NAV,Data,Other FX Translations,-1.3527907
Change in NAV,Data,Ending Value,66663725.59167916
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1810,10000,10000,51.7000,51.0500,-835.705,0,0,0,-835.705,
Mark-to-Market Performance Summary,Data,Stocks,2097,600,700,431.0000,432.0000,77.142,179.998,-8.80100221,0,248.33899779,
Mark-to-Market Performance Summary,Data,Stocks,2359,4400,5600,70.2500,69.5000,-424.281,120.8558,-20.087661087,0,-323.512861087,
Mark-to-Market Performance Summary,Data,Stocks,2828,4600,5400,88.7000,88.5000,-118.2844,106.45596,-6.291395523,0,-18.119835523,
Mark-to-Market Performance Summary,Data,Stocks,3067,36100,37500,11.7100,11.5300,-835.44786,10.67131,-3.261179979,0,-828.037729979,
Mark-to-Market Performance Summary,Data,Stocks,700,1600,2400,509.0000,509.5000,102.856,289.2825,-84.621141897,0,307.517358102,
Mark-to-Market Performance Summary,Data,Stocks,857,2000,4000,6.2900,6.1600,-33.4282,7.7142,-4.376792797,0,-30.090792797,
Mark-to-Market Performance Summary,Data,Stocks,883,1000,2000,18.6800,18.4600,-28.2854,12.857,-5.214876342,0,-20.643276342,
Mark-to-Market Performance Summary,Data,Stocks,9961,1000,1000,500.5000,507.0000,835.705,0,0,0,835.705,
Mark-to-Market Performance Summary,Data,Stocks,AGG,1460,1460,98.1600,98.7300,832.2,0,0,0,832.2,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,1590,1890,201.3600,192.7200,-13737.6,13,-0.76349175,0,-13725.36349175,
Mark-to-Market Performance Summary,Data,Stocks,BABA,1850,1850,135.6300,132.4300,-5920,0,0,0,-5920,
Mark-to-Market Performance Summary,Data,Stocks,BSX,1500,1500,100.8000,99.3600,-2160,0,0,0,-2160,
Mark-to-Market Performance Summary,Data,Stocks,CNH,4200,4200,12.7500,12.1900,-2352,0,0,0,-2352,
Mark-to-Market Performance Summary,Data,Stocks,CQQQ,5600,5600,45.9000,44.5000,-7840,0,0,0,-7840,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,740,740,206.2500,203.2200,-2242.2,0,0,0,-2242.2,
Mark-to-Market Performance Summary,Data,Stocks,CVS,1600,2400,67.5900,67.1400,-720,118.5,-2.756658,0,-604.256658,
Mark-to-Market Performance Summary,Data,Stocks,DAX,5400,6200,39.6500,39.4200,-1242,-13,-1.493715,0,-1256.493715,
Mark-to-Market Performance Summary,Data,Stocks,FXY,400,600,61.0400,61.5700,212,19,-0.3775145,0,230.6224855,
Mark-to-Market Performance Summary,Data,Stocks,GS,200,200,558.9200,543.1200,-3160,0,0,0,-3160,
Mark-to-Market Performance Summary,Data,Stocks,HEFA,1750,1750,36.9800,36.5650,-726.25,0,0,0,-726.25,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,5300,5300,30.4800,30.7200,1272,0,0,0,1272,
