Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"April 3, 2025"
Statement,Data,WhenGenerated,"2025-08-05, 22:23:16 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,2300836.820323793,10053692.319695616,-22607470.60913481,-12553778.289439192,-14854615.109762985
Net Asset Value,Data,Stock,64068756.28876,78340509.48816,0,78340509.48816,14271753.1994
Net Asset Value,Data,Options,20490.5,16181.3,0,16181.3,-4309.2
Net Asset Value,Data,Interest Accruals,8453.9170906,2483.63,-1225.05,1258.58,-7195.3370906
Net Asset Value,Data,Dividend Accruals,133018.23,131985.16,0,131985.16,-1033.07
Net Asset Value,Data,Total,66531555.756174386,88544851.89785561,-22608695.65913481,65936156.238720804,-595399.517453581
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.894912964%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,66531555.756174386
Change in NAV,Data,Mark-to-Market,-594314.92445709
Change in NAV,Data,Dividends,1475.82
Change in NAV,Data,Withholding Tax,-442.75
Change in NAV,Data,Change in Dividend Accruals,-1033.07
Change in NAV,Data,Interest,7985.8575676
Change in NAV,Data,Change in Interest Accruals,-7197.8575676
Change in NAV,Data,Commissions,-1875.11347349
Change in NAV,Data,Other FX Translations,2.520477
Change in NAV,Data,Ending Value,65936156.238720804
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1810,10000,10000,44.5500,45.9000,1735.56,0,0,0,1735.56,
Mark-to-Market Performance Summary,Data,Stocks,2097,700,700,411.4000,404.4000,-629.944,0,0,0,-629.944,
Mark-to-Market Performance Summary,Data,Stocks,2359,5600,5600,68.5500,64.1500,-3167.7184,0,0,0,-3167.7184,
Mark-to-Market Performance Summary,Data,Stocks,2828,10400,10400,87.2600,86.0400,-1631.16928,0,0,0,-1631.16928,
Mark-to-Market Performance Summary,Data,Stocks,3067,67500,67500,11.4000,11.0800,-2776.896,0,0,0,-2776.896,
Mark-to-Market Performance Summary,Data,Stocks,700,2400,2400,504.0000,497.8000,-1912.9728,0,0,0,-1912.9728,
Mark-to-Market Performance Summary,Data,Stocks,857,104000,104000,6.3700,6.3000,-935.9168,0,0,0,-935.9168,
Mark-to-Market Performance Summary,Data,Stocks,883,32000,32000,18.8400,18.4400,-1645.568,0,0,0,-1645.568,
Mark-to-Market Performance Summary,Data,Stocks,9961,1000,1000,495.2000,488.0000,-925.632,0,0,0,-925.632,
Mark-to-Market Performance Summary,Data,Stocks,AGG,1460,1460,98.8500,99.3700,759.2,0,0,0,759.2,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,3590,3590,196.0100,178.4100,-63184,0,0,0,-63184,
Mark-to-Market Performance Summary,Data,Stocks,BABA,6550,6550,129.7900,129.3300,-3013,0,0,0,-3013,
Mark-to-Market Performance Summary,Data,Stocks,BSX,1820,1820,100.0500,98.5000,-2821,0,0,0,-2821,
Mark-to-Market Performance Summary,Data,Stocks,CNH,4200,4200,12.3400,11.2700,-4494,0,0,0,-4494,
Mark-to-Market Performance Summary,Data,Stocks,CQQQ,13700,13700,44.5000,43.7400,-10412,0,0,0,-10412,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,1980,1980,208.6700,204.8500,-7563.6,0,0,0,-7563.6,
Mark-to-Market Performance Summary,Data,Stocks,CVS,2400,2400,68.0700,67.5100,-1344,0,0,0,-1344,
Mark-to-Market Performance Summary,Data,Stocks,DAX,12600,12600,39.3800,38.6200,-9576,0,0,0,-9576,
Mark-to-Market Performance Summary,Data,Stocks,FXY,600,600,61.4800,63.0700,954,0,0,0,954,
Mark-to-Market Performance Summary,Data,Stocks,GS,260,260,563.1000,511.2300,-13486.2,0,0,0,-13486.2,
Mark-to-Market Performance Summary,Data,Stocks,HEFA,1750,1750,36.3400,34.9900,-2362.5,0,0,0,-2362.5,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,6100,217400,31.1700,31.0000,-1037,-97393,-645.68909675,0,-99075.68909675,
