Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"April 4, 2025"
Statement,Data,WhenGenerated,"2025-08-05, 22:23:26 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-12553778.289439192,43009.93284045,-8388334.540673763,-8345324.607833313,4208453.681605879
Net Asset Value,Data,Stock,78340509.48816,73878034.39068,0,73878034.39068,-4462475.097479999
Net Asset Value,Data,Options,16181.3,0,0,0,-16181.3
Net Asset Value,Data,Interest Accruals,1258.58,2970.41,-1467.8,1502.61,244.03
Net Asset Value,Data,Dividend Accruals,131985.16,1022,0,1022,-130963.16
Net Asset Value,Data,Total,65936156.238720804,73925036.73352045,-8389802.340673763,65535234.39284669,-400921.845874116
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.608045523%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,65936156.238720804
Change in NAV,Data,Mark-to-Market,-400500.94333407
Change in NAV,Data,Dividends,187650.24
Change in NAV,Data,Withholding Tax,-56295.08
Change in NAV,Data,Change in Dividend Accruals,-130963.16
Change in NAV,Data,Change in Interest Accruals,244.03
Change in NAV,Data,Commissions,-1056.93254005
Change in NAV,Data,Ending Value,65535234.39284669
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1810,10000,10000,45.9000,45.9000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2097,700,700,404.4000,404.4000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2359,5600,5600,64.1500,64.1500,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2828,10400,10400,86.0400,86.0400,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,3067,67500,67500,11.0800,11.0800,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,700,2400,2400,497.8000,497.8000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,857,104000,104000,6.3000,6.3000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,883,32000,32000,18.4400,18.4400,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,9961,1000,1000,488.0000,488.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,AGG,1460,1460,99.3700,99.4600,131.4,0,0,332.35,463.75,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,3590,3590,178.4100,171.0000,-26601.9,0,0,0,-26601.9,
Mark-to-Market Performance Summary,Data,Stocks,BABA,6550,0,129.3300,116.5400,-83774.5,-11061.298,-40.31285002,0,-94876.11085002,
Mark-to-Market Performance Summary,Data,Stocks,BSX,1820,1820,98.5000,89.7000,-16016,0,0,0,-16016,
Mark-to-Market Performance Summary,Data,Stocks,CNH,4200,4200,11.2700,10.7200,-2310,0,0,0,-2310,
Mark-to-Market Performance Summary,Data,Stocks,CQQQ,13700,0,43.7400,40.3800,-46032,669.146,-69.81629606,0,-45432.67029606,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,1980,1980,204.8500,190.3300,-28749.6,0,0,0,-28749.6,
Mark-to-Market Performance Summary,Data,Stocks,CVS,2400,2400,67.5100,63.6600,-9240,0,0,0,-9240,
Mark-to-Market Performance Summary,Data,Stocks,DAX,12600,0,38.6200,36.0600,-32256,3780,-16.5473028,0,-28492.5473028,
Mark-to-Market Performance Summary,Data,Stocks,FXY,600,600,63.0700,62.8400,-138,0,0,0,-138,
Mark-to-Market Performance Summary,Data,Stocks,GS,260,260,511.2300,470.8100,-10509.2,0,0,0,-10509.2,
Mark-to-Market Performance Summary,Data,Stocks,HEFA,1750,1750,34.9900,33.0200,-3447.5,0,0,0,-3447.5,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,217400,106200,31.0000,30.2700,-158702,-13172.78,-540.08642492,0,-172414.86642492,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,750,750,46.5700,47.7100,855,0,0,0,855,
Mark-to-Market Performance Summary,Data,Stocks,ICE,1500,1500,167.5600,156.7400,-16230,0,0,0,-16230,
