Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"June 18, 2025"
Statement,Data,WhenGenerated,"2025-08-12, 01:43:08 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-121279859.45687546,43900.406926945,-125319109.05590548,-125275208.64897853,-3995349.192103073
Net Asset Value,Data,Stock,189130725.1669,193054174.84266,0,193054174.84266,3923449.675760001
Net Asset Value,Data,Interest Accruals,-155942.2194781,171783.0739706,-343455.4128456,-171672.338875,-15730.1193969
Net Asset Value,Data,Dividend Accruals,227676.4078282,251655.6486203,0,251655.6486203,23979.2407921
Net Asset Value,Data,Total,67922599.89837468,193521513.97217786,-125662564.46875107,67858949.50342679,-63650.394947886
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.093710186%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,67922599.89837468
Change in NAV,Data,Mark-to-Market,-71822.5509291
Change in NAV,Data,Change in Dividend Accruals,23979.2307921
Change in NAV,Data,Change in Interest Accruals,-15729.0265417
Change in NAV,Data,Commissions,-76.965414
Change in NAV,Data,Other FX Translations,-1.0828552
Change in NAV,Data,Ending Value,67858949.50342679
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,2274000,2274000,5.6200,5.5800,-11587.3944,0,0,0,-11587.3944,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,54.0000,53.8000,-1528.68,0,0,0,-1528.68,
Mark-to-Market Performance Summary,Data,Stocks,2097,6000,6000,523.5000,512.0000,-8789.91,0,0,0,-8789.91,
Mark-to-Market Performance Summary,Data,Stocks,2359,32700,32700,76.5000,74.9000,-6665.0448,0,0,0,-6665.0448,
Mark-to-Market Performance Summary,Data,Stocks,2828,100000,100000,89.9800,88.9400,-13248.56,0,0,0,-13248.56,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,19.7000,19.7600,2873.9184,0,0,0,2873.9184,
Mark-to-Market Performance Summary,Data,Stocks,3067,570000,570000,11.1400,10.9700,-12344.091,0,0,0,-12344.091,
Mark-to-Market Performance Summary,Data,Stocks,700,20000,20000,513.5000,508.0000,-14012.9,0,0,0,-14012.9,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,7.0500,6.9500,-2649.712,0,0,0,-2649.712,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,18.2800,18.1400,-1551.6102,0,0,0,-1551.6102,
Mark-to-Market Performance Summary,Data,Stocks,941,120000,120000,87.0500,86.7500,-4586.04,0,0,0,-4586.04,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,480.0000,463.2000,-23541.672,0,0,0,-23541.672,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,100,100,195.6400,196.5800,94,0,0,0,94,
Mark-to-Market Performance Summary,Data,Stocks,APP,150,150,360.4500,344.3700,-2412,0,0,0,-2412,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,24400,24400,67.0400,67.0200,-488,0,0,0,-488,
Mark-to-Market Performance Summary,Data,Stocks,BABA,21700,21700,115.0300,113.4900,-33418,0,0,0,-33418,
Mark-to-Market Performance Summary,Data,Stocks,BN4,130000,130000,7.4200,7.4300,1011.244,0,0,0,1011.244,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,7100,7100,483.4800,485.1400,11786,0,0,0,11786,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,12000,12000,141.1200,140.5300,-7080,0,0,0,-7080,
Mark-to-Market Performance Summary,Data,Stocks,CEG,6000,6000,305.7000,306.4300,4380,0,0,0,4380,
Mark-to-Market Performance Summary,Data,Stocks,CME,4100,4100,269.7000,272.1000,9840,0,0,0,9840,
