Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"June 25, 2025"
Statement,Data,WhenGenerated,"2025-08-12, 01:44:12 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-98088341.46637073,7018638.572489358,-108980349.80422689,-101961711.23173752,-3873369.765366793
Net Asset Value,Data,Stock,168794273.09620002,172371849.42055,0,172371849.42055,3577576.32434997
Net Asset Value,Data,Interest Accruals,-269794.1898537,282167.4482563,-563249.8988692,-281082.4506129,-11288.2607592
Net Asset Value,Data,Dividend Accruals,109048.6559827,115027.6754683,0,115027.6754683,5979.0194856
Net Asset Value,Data,Total,70545186.09595828,179787683.11676395,-109543599.70309609,70244083.41366786,-301102.68229042
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.426822437%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,70545186.09595828
Change in NAV,Data,Mark-to-Market,-322144.4409971
Change in NAV,Data,Dividends,29798.099
Change in NAV,Data,Withholding Tax,-3228.6684856
Change in NAV,Data,Change in Dividend Accruals,5979.0194856
Change in NAV,Data,Change in Interest Accruals,-11283.8762996
Change in NAV,Data,Commissions,-143.504895391
Change in NAV,Data,Transaction Fees,-74.925638705
Change in NAV,Data,Other FX Translations,-4.3844596
Change in NAV,Data,Ending Value,70244083.41366786
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,2774000,2774000,5.7300,5.7800,17668.993,0,0,0,17668.993,
Mark-to-Market Performance Summary,Data,Stocks,1398,2000000,2000000,6.4000,6.4500,12739,0,0,0,12739,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,70000,56.9000,56.6500,-1910.85,-63.695,-117.997815558,0,-2092.542815558,
Mark-to-Market Performance Summary,Data,Stocks,2097,6000,6000,533.0000,526.0000,-5350.38,0,0,0,-5350.38,
Mark-to-Market Performance Summary,Data,Stocks,2359,32700,32700,77.4000,78.7500,5623.63155,0,0,0,5623.63155,
Mark-to-Market Performance Summary,Data,Stocks,2828,100000,100000,90.6800,91.7200,13248.56,0,0,0,13248.56,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,19.2600,19.4600,9579.728,0,0,0,9579.728,
Mark-to-Market Performance Summary,Data,Stocks,3067,570000,570000,11.1000,11.2700,12344.091,0,0,0,12344.091,
Mark-to-Market Performance Summary,Data,Stocks,3988,2000000,2000000,4.6900,4.7600,17834.6,0,0,0,17834.6,
Mark-to-Market Performance Summary,Data,Stocks,700,20000,20000,509.5000,512.5000,7643.4,0,0,0,7643.4,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,6.6900,6.6900,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,17.9000,17.9600,664.9758,0,0,0,664.9758,
Mark-to-Market Performance Summary,Data,Stocks,941,120000,120000,87.0000,87.4000,6114.72,0,0,25694.4305144,31809.1505144,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,454.0000,459.0000,7006.45,0,0,0,7006.45,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,75,75,200.3000,201.5600,94.5,0,0,0,94.5,
Mark-to-Market Performance Summary,Data,Stocks,APP,113,113,349.4800,338.8000,-1206.84,0,0,0,-1206.84,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,0,4900,--,234.9400,0,3382.83,-9.580703,0,3373.249297,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,18300,18300,67.9400,67.9500,183,0,0,0,183,
Mark-to-Market Performance Summary,Data,Stocks,BABA,16275,16275,117.0100,114.5500,-40036.5,0,0,0,-40036.5,
Mark-to-Market Performance Summary,Data,Stocks,BN4,130000,130000,7.4000,7.4000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,5325,5125,493.4800,486.2100,-38712.75,462,-0.240494,0,-38250.990494,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,10800,10800,142.3100,140.8600,-15660,0,0,0,-15660,
Mark-to-Market Performance Summary,Data,Stocks,CEG,4500,5000,320.6600,315.1400,-24840,-801.8,-0.398235,0,-25642.198235,
Mark-to-Market Performance Summary,Data,Stocks,CME,4175,4175,271.3800,273.0300,6888.75,0,0,875,7763.75,
Mark-to-Market Performance Summary,Data,Stocks,COIN,5250,5250,344.8200,355.3700,55387.5,0,0,0,55387.5,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,3600,3600,485.3800,494.0900,31356,0,0,0,31356,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,11250,11250,67.8900,68.1900,3375,0,0,0,3375,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,10500,10500,223.2000,219.2400,-41580,0,0,0,-41580,
