Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"June 27, 2025"
Statement,Data,WhenGenerated,"2025-08-12, 01:44:31 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-104478816.80712838,7018638.715701191,-120110862.68165244,-113092223.96595125,-8613407.158822864
Net Asset Value,Data,Stock,176242135.34946,184436215.5934,0,184436215.5934,8194080.243939996
Net Asset Value,Data,Interest Accruals,-293442.1943033,309307.1124288,-615646.2893772,-306339.1769484,-12896.9826451
Net Asset Value,Data,Dividend Accruals,105773.7354683,179851.2254683,0,179851.2254683,74077.49
Net Asset Value,Data,Total,71575650.08349662,191944012.64699832,-120726508.97102964,71217503.67596868,-358146.407527938
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.500374649%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,71575650.08349662
Change in NAV,Data,Mark-to-Market,-412478.17375372
Change in NAV,Data,Dividends,139.91
Change in NAV,Data,Withholding Tax,-41.97
Change in NAV,Data,Change in Dividend Accruals,74077.48
Change in NAV,Data,Change in Interest Accruals,-12901.7625081
Change in NAV,Data,Commissions,-2568.129526693
Change in NAV,Data,Transaction Fees,-4378.551602446
Change in NAV,Data,Other FX Translations,4.789863
Change in NAV,Data,Ending Value,71217503.67596868
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,3052000,5110000,5.7900,5.7300,-23327.6568,7717.2862,-2396.292474244,0,-18006.663074244,
Mark-to-Market Performance Summary,Data,Stocks,1398,2210000,3210000,6.4500,6.3200,-36599.147,-6369.5,-1303.685259724,0,-44272.332259724,
Mark-to-Market Performance Summary,Data,Stocks,1810,70000,100000,56.9000,58.9500,18280.465,-1847.155,-369.299431608,0,16064.010568392,
Mark-to-Market Performance Summary,Data,Stocks,2359,36000,72000,77.4000,76.0500,-6191.154,2980.926,-555.06523668,0,-3765.29323668,
Mark-to-Market Performance Summary,Data,Stocks,2800,121000,121000,24.7600,24.7000,-924.8514,0,0,0,-924.8514,
Mark-to-Market Performance Summary,Data,Stocks,2828,100000,100000,91.1400,89.5400,-20382.4,0,0,0,-20382.4,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,19.6800,20.5000,39276.8848,0,0,0,39276.8848,
Mark-to-Market Performance Summary,Data,Stocks,3067,570000,570000,11.2300,11.2300,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,3888,0,150000,--,40.5000,0,955.425,-1248.331412971,0,-292.906412971,
Mark-to-Market Performance Summary,Data,Stocks,3988,2200000,3200000,4.7400,4.6700,-19618.06,-5095.6,-964.422530222,0,-25678.082530222,
Mark-to-Market Performance Summary,Data,Stocks,700,20000,20000,513.0000,513.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,6.7800,6.8100,794.9136,0,0,0,794.9136,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,17.9000,17.9200,221.6586,0,0,0,221.6586,
Mark-to-Market Performance Summary,Data,Stocks,941,120000,120000,86.9000,86.3500,-8407.74,0,0,0,-8407.74,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,464.0000,459.2000,-6726.192,0,0,0,-6726.192,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,75,1380,201.0000,201.0800,6,-256.6,-1.91194835,0,-252.51194835,
Mark-to-Market Performance Summary,Data,Stocks,APP,113,113,347.4500,333.7800,-1544.71,0,0,0,-1544.71,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,6200,6200,272.3700,278.0700,35340,0,0,0,35340,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,18300,18300,68.3600,68.2500,-2013,0,0,0,-2013,
Mark-to-Market Performance Summary,Data,Stocks,BABA,18775,18775,113.9300,114.0800,2816.25,0,0,0,2816.25,
Mark-to-Market Performance Summary,Data,Stocks,BN4,143000,143000,7.3800,7.4400,6724.146,0,0,0,6724.146,
