Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"July 1, 2025"
Statement,Data,WhenGenerated,"2025-08-05, 22:16:16 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-119774221.52327642,7018638.922309608,-131514331.954117,-124495693.0318074,-4721471.508530974
Net Asset Value,Data,Stock,192512025.62528,194928025.25378,0,194928025.25378,2415999.628500015
Net Asset Value,Data,Interest Accruals,-345272.5406135,365691.6212164,-724650.9369324,-358959.315716,-13686.7751025
Net Asset Value,Data,Dividend Accruals,173235.7394683,273889.7594683,0,273889.7594683,100654.02
Net Asset Value,Data,Total,72565767.30085838,202586245.5567743,-132238982.8910494,70347262.66572489,-2218504.63513349
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-3.05723307%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,72565767.30085838
Change in NAV,Data,Mark-to-Market,-2348692.906371729
Change in NAV,Data,Dividends,68478.79
Change in NAV,Data,Withholding Tax,-20543.64
Change in NAV,Data,Change in Dividend Accruals,100654.02
Change in NAV,Data,Change in Interest Accruals,-13690.4905143
Change in NAV,Data,Commissions,-4714.12365922
Change in NAV,Data,Other FX Translations,3.7154118
Change in NAV,Data,Ending Value,70347262.66572489
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,6132000,6132000,5.6000,5.6000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.2200,6.2200,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,59.9500,59.9500,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2359,72000,72000,78.6500,78.6500,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2800,121000,121000,24.5200,24.5200,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2828,120000,120000,88.4200,88.4200,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,20.0500,20.0500,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,3067,570000,570000,11.1700,11.1700,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,388,15300,15300,418.8000,418.8000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,3888,150000,150000,40.9000,40.9000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.5600,4.5600,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,700,20000,20000,503.0000,503.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,6.7500,6.7500,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,17.7200,17.7200,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,941,120000,120000,87.1000,87.1000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,456.0000,456.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,1380,1380,205.1700,207.8200,3657,0,0,0,3657,
Mark-to-Market Performance Summary,Data,Stocks,AMD,0,18600,--,136.1100,0,-10851.22,-62.264792,0,-10913.484792,
Mark-to-Market Performance Summary,Data,Stocks,AMGN,0,8700,--,290.5200,0,-3684.4,-24.518124,0,-3708.918124,
Mark-to-Market Performance Summary,Data,Stocks,APP,113,113,350.0800,336.6900,-1513.07,0,0,0,-1513.07,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,6200,6200,284.9500,252.4000,-201810,0,0,0,-201810,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,18300,18300,68.5400,68.6400,1830,0,0,0,1830,
Mark-to-Market Performance Summary,Data,Stocks,BABA,18775,22375,113.4100,113.9700,10514,-178.88,-8.022492,0,10327.097508,
Mark-to-Market Performance Summary,Data,Stocks,BN4,143000,143000,7.4200,7.4400,2247.102,0,0,0,2247.102,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,10800,10800,144.0600,140.3700,-39852,0,0,0,-39852,
Mark-to-Market Performance Summary,Data,Stocks,CEG,5000,5000,322.7600,307.9200,-74200,0,0,0,-74200,
