Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"July 7, 2025"
Statement,Data,WhenGenerated,"2025-08-05, 22:15:02 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-156216609.33673534,7075918.229463656,-164095540.10081813,-157019621.87135446,-803012.534619123
Net Asset Value,Data,Stock,227128958.70546,226829781.41946,0,226829781.41946,-299177.286000013
Net Asset Value,Data,Interest Accruals,-29264.8999068,104353.0757663,-203054.8637193,-98701.787953,-69436.8880462
Net Asset Value,Data,Dividend Accruals,376649.5720656,224556.6233395,0,224556.6233395,-152092.9487261
Net Asset Value,Data,Total,71259734.04088345,234234609.34802946,-164298594.96453744,69936014.38349202,-1323719.657391429
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-1.857598369%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,71259734.04088345
Change in NAV,Data,Mark-to-Market,-1250844.727757029
Change in NAV,Data,Dividends,217779.65
Change in NAV,Data,Withholding Tax,-65333.9
Change in NAV,Data,Change in Dividend Accruals,-152092.9487261
Change in NAV,Data,Change in Interest Accruals,-69441.8957306
Change in NAV,Data,Commissions,-3403.307191466
Change in NAV,Data,Transaction Fees,-387.535670622
Change in NAV,Data,Other FX Translations,5.0076844
Change in NAV,Data,Ending Value,69936014.38349202
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,7359000,7365000,5.6900,5.6700,-18749.2602,15.2868,-7.038972667,0,-18741.012372667,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.1300,6.1300,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,57.5000,57.3000,-2547.8,0,0,0,-2547.8,
Mark-to-Market Performance Summary,Data,Stocks,2359,72000,86400,79.9000,79.0500,-7796.268,1008.9288,-234.749298312,0,-7022.088498312,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,24.4000,24.3600,-891.73,0,0,0,-891.73,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,88.1200,88.0200,-2201.2992,0,0,0,-2201.2992,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,21.0500,20.3500,-33529.048,0,0,0,-33529.048,
Mark-to-Market Performance Summary,Data,Stocks,3067,684000,684000,11.0100,11.0100,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,388,22100,26500,413.8000,408.2000,-15765.7864,1121.032,-370.784462698,0,-15015.538862698,
Mark-to-Market Performance Summary,Data,Stocks,3888,150000,150000,34.5000,33.7500,-14331.375,0,0,0,-14331.375,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.5800,4.6500,34242.432,0,0,0,34242.432,
Mark-to-Market Performance Summary,Data,Stocks,700,24500,24500,496.8000,502.0000,16229.486,0,0,0,16229.486,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,6.8100,6.8100,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,18.2200,18.0800,-1551.6102,0,0,0,-1551.6102,
Mark-to-Market Performance Summary,Data,Stocks,941,144000,144000,85.9000,85.9500,917.208,0,0,0,917.208,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,466.0000,475.2000,12891.868,0,0,0,12891.868,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,1380,1380,213.5500,209.9500,-4968,0,0,0,-4968,
Mark-to-Market Performance Summary,Data,Stocks,AMD,18600,23100,137.9100,134.8000,-57846,-370.91,-5.14776625,0,-58222.05776625,
Mark-to-Market Performance Summary,Data,Stocks,AMGN,8700,8700,298.2400,292.9500,-46023,0,0,0,-46023,
Mark-to-Market Performance Summary,Data,Stocks,APP,113,113,341.6400,345.0000,379.68,0,0,0,379.68,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,6200,6200,246.2300,240.7400,-34038,0,0,0,-34038,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,18300,18300,69.4200,68.3300,-19947,0,0,0,-19947,
