Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"July 8, 2025"
Statement,Data,WhenGenerated,"2025-08-05, 22:15:10 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-157019621.87135446,7075918.26461928,-173323337.114592,-166247418.8499727,-9227796.978618234
Net Asset Value,Data,Stock,226829781.41946,235696080.55152,0,235696080.55152,8866299.132059991
Net Asset Value,Data,Interest Accruals,-98701.787953,124513.5335359,-242426.6314416,-117913.0979057,-19211.3099527
Net Asset Value,Data,Dividend Accruals,224556.6233395,230189.9433395,0,230189.9433395,5633.32
Net Asset Value,Data,Total,69936014.38349202,243126702.29301468,-173565763.74603358,69560938.5469811,-375075.836510926
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.536312857%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,69936014.38349202
Change in NAV,Data,Mark-to-Market,-361077.16174248
Change in NAV,Data,Change in Dividend Accruals,5633.31
Change in NAV,Data,Change in Interest Accruals,-19208.7424705
Change in NAV,Data,Commissions,-259.155567104
Change in NAV,Data,Transaction Fees,-161.529248648
Change in NAV,Data,Other FX Translations,-2.5574822
Change in NAV,Data,Ending Value,69560938.5469811
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,7365000,7365000,5.6700,5.6600,-9382.2735,0,0,0,-9382.2735,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.1300,6.1500,9814.1256,0,0,0,9814.1256,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,57.3000,58.6500,17197.65,0,0,0,17197.65,
Mark-to-Market Performance Summary,Data,Stocks,2359,86400,102000,79.0500,79.7000,7154.2224,1987.284,-255.134200252,0,8886.372199748,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,24.3600,24.6400,6242.11,0,0,0,6242.11,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,88.0200,89.1600,25094.81088,0,0,0,25094.81088,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,20.3500,20.7000,16764.524,0,0,0,16764.524,
Mark-to-Market Performance Summary,Data,Stocks,3067,684000,684000,11.0100,11.2300,19169.6472,0,0,0,19169.6472,
Mark-to-Market Performance Summary,Data,Stocks,388,26500,26500,408.2000,417.4000,31057.682,0,0,0,31057.682,
Mark-to-Market Performance Summary,Data,Stocks,3888,150000,150000,33.7500,34.2000,8598.825,0,0,0,8598.825,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.6500,4.6800,14675.328,0,0,0,14675.328,
Mark-to-Market Performance Summary,Data,Stocks,700,24500,24500,502.0000,504.5000,7802.6375,0,0,0,7802.6375,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,6.8100,6.8500,1059.8848,0,0,0,1059.8848,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,18.0800,18.2000,1329.9516,0,0,0,1329.9516,
Mark-to-Market Performance Summary,Data,Stocks,941,144000,144000,85.9500,86.0000,917.208,0,0,0,917.208,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,475.2000,478.0000,3923.612,0,0,0,3923.612,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,1380,1380,209.9500,210.0100,82.8,0,0,0,82.8,
Mark-to-Market Performance Summary,Data,Stocks,AMD,23100,23100,134.8000,137.8200,69762,0,0,0,69762,
Mark-to-Market Performance Summary,Data,Stocks,AMGN,8700,8700,292.9500,297.0000,35235,0,0,0,35235,
Mark-to-Market Performance Summary,Data,Stocks,APP,113,113,345.0000,344.7500,-28.25,0,0,0,-28.25,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,6200,6200,240.7400,237.0700,-22754,0,0,0,-22754,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,18300,18300,68.3300,68.7900,8418,0,0,0,8418,
Mark-to-Market Performance Summary,Data,Stocks,BABA,22375,22375,106.2700,107.9900,38485,0,0,0,38485,
Mark-to-Market Performance Summary,Data,Stocks,BN4,143000,143000,7.6000,7.7000,11175.593,0,0,0,11175.593,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,10800,10800,143.7900,137.3700,-69336,0,0,0,-69336,
Mark-to-Market Performance Summary,Data,Stocks,CEG,8200,8200,318.2500,312.8400,-44362,0,0,0,-44362,
Mark-to-Market Performance Summary,Data,Stocks,CME,9175,9175,282.5500,275.6300,-63491,0,0,0,-63491,
Mark-to-Market Performance Summary,Data,Stocks,COIN,1000,1000,357.1000,354.8200,-2280,0,0,0,-2280,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,3600,3600,505.4600,507.7100,8100,0,0,0,8100,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,36250,36250,68.9300,68.5900,-12325,0,0,0,-12325,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,11000,11000,217.5400,215.2900,-24750,0,0,0,-24750,
Mark-to-Market Performance Summary,Data,Stocks,CVX,17200,17200,147.4000,153.2400,100448,0,0,0,100448,
Mark-to-Market Performance Summary,Data,Stocks,D05,50000,50000,45.6700,45.7300,2344.53,0,0,0,2344.53,
Mark-to-Market Performance Summary,Data,Stocks,DAX,20025,20025,44.7800,45.3300,11013.75,0,0,0,11013.75,
Mark-to-Market Performance Summary,Data,Stocks,DDOG,232,232,152.4100,145.9400,-1501.04,0,0,0,-1501.04,
Mark-to-Market Performance Summary,Data,Stocks,DG,13640,13640,116.3000,112.6900,-49240.4,0,0,0,-49240.4,
Mark-to-Market Performance Summary,Data,Stocks,EBND,358491,358491,21.2300,21.2600,10754.73,0,0,0,10754.73,
Mark-to-Market Performance Summary,Data,Stocks,EFA,28000,28000,88.5500,89.2000,18200,0,0,0,18200,
Mark-to-Market Performance Summary,Data,Stocks,EMR,26200,26200,138.4000,138.7300,8646,0,0,0,8646,
Mark-to-Market Performance Summary,Data,Stocks,ETN,3549,3549,358.4900,356.9800,-5358.99,0,0,0,-5358.99,
