Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"July 29, 2025"
Statement,Data,WhenGenerated,"2025-07-30, 01:23:27 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-53846912.8695145,1196110.469204641,-60759794.67633606,-59563684.207131416,-5716771.337616913
Net Asset Value,Data,Stock,128293461.97782001,133970493.90965,0,133970493.90965,5677031.931829989
Net Asset Value,Data,Options,-94139.1,334928.5,-405893.76,-70965.26,23173.84
Net Asset Value,Data,Interest Accruals,-340904.8833227,353768.0002877,-698951.4269676,-345183.4266799,-4278.5433572
Net Asset Value,Data,Dividend Accruals,270103.9690367,270103.9690367,0,270103.9690367,0
Net Asset Value,Data,Total,74281609.0940195,136125404.84817904,-61864639.863303654,74260764.98487538,-20844.109144121
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.028060928%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,74281609.0940195
Change in NAV,Data,Mark-to-Market,-15352.19889871
Change in NAV,Data,Change in Interest Accruals,-4305.1474291
Change in NAV,Data,Commissions,-1170.134260442
Change in NAV,Data,Transaction Fees,-43.232627743
Change in NAV,Data,Other FX Translations,26.6040719
Change in NAV,Data,Ending Value,74260764.98487538
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,300000,300000,30.2000,30.1500,-1910.85,0,0,0,-1910.85,
Mark-to-Market Performance Summary,Data,Stocks,1288,9206000,9206000,5.2300,5.1800,-58637.617,0,0,0,-58637.617,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.1200,6.0700,-24535.314,0,0,0,-24535.314,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,56.8000,55.3000,-19108.5,0,0,0,-19108.5,
Mark-to-Market Performance Summary,Data,Stocks,2359,102000,105000,100.4000,111.7000,146829.714,796.1875,-68.305110341,0,147557.59638966,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,26.0600,26.0200,-891.73,0,0,0,-891.73,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,93.9400,93.7000,-5283.11808,0,0,0,-5283.11808,
Mark-to-Market Performance Summary,Data,Stocks,2899,500000,500000,22.5000,22.4000,-6369.5,0,0,0,-6369.5,
Mark-to-Market Performance Summary,Data,Stocks,3067,684000,684000,11.9300,11.8800,-4356.738,0,0,0,-4356.738,
Mark-to-Market Performance Summary,Data,Stocks,388,26500,26500,449.4000,440.8000,-29032.181,0,0,0,-29032.181,
Mark-to-Market Performance Summary,Data,Stocks,3888,75000,75000,34.5000,34.4000,-955.425,0,0,0,-955.425,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.6600,4.6200,-19567.104,0,0,0,-19567.104,
Mark-to-Market Performance Summary,Data,Stocks,700,24500,24500,555.5000,555.0000,-1560.5275,0,0,0,-1560.5275,
Mark-to-Market Performance Summary,Data,Stocks,762,1966000,1966000,9.5800,9.6100,7513.4622,0,0,0,7513.4622,
Mark-to-Market Performance Summary,Data,Stocks,857,616000,616000,7.3300,7.5300,15694.448,0,0,0,15694.448,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.8000,18.9000,2216.586,0,0,0,2216.586,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,45.2000,46.4000,20178.576,0,0,0,20178.576,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,500.0000,497.6000,-3363.096,0,0,0,-3363.096,
Mark-to-Market Performance Summary,Data,Stocks,A17U,326700,380500,2.8100,2.8200,2536.8255,417.757,-109.876775112,0,2844.705724888,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,438,438,214.0500,211.2700,-1217.64,0,0,0,-1217.64,
Mark-to-Market Performance Summary,Data,Stocks,AMD,7310,7310,173.6600,177.4400,27631.8,0,0,0,27631.8,
