Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 11, 2025"
Statement,Data,WhenGenerated,"2025-08-12, 01:38:08 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-13598439.627405211,32241972.527114954,-29478960.342035037,2763012.185079917,16361451.812485129
Net Asset Value,Data,Stock,119268248.61705999,105147069.28038,0,105147069.28038,-14121179.336679995
Net Asset Value,Data,Options,-3049766.080000001,8513798.9,-13854584.98,-5340786.08,-2291019.999999999
Net Asset Value,Data,Interest Accruals,-47733.9305849,92431.8807547,-174984.2886442,-82552.4078895,-34818.4773046
Net Asset Value,Data,Dividend Accruals,252330.7035146,279292.6025311,0,279292.6025311,26961.8990165
Net Asset Value,Data,Total,102824639.6825845,146274565.19078076,-43508529.61067924,102766035.58010152,-58604.102482975
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.056994221%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,102824639.6825845
Change in NAV,Data,Mark-to-Market,-31629.50108078
Change in NAV,Data,Change in Dividend Accruals,27002.5499776
Change in NAV,Data,Change in Interest Accruals,-34825.4020971
Change in NAV,Data,Commissions,-9993.801191723
Change in NAV,Data,Transaction Fees,-9124.22192174
Change in NAV,Data,Other FX Translations,-33.7261686
Change in NAV,Data,Ending Value,102766035.58010152
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,300000,150000,29.7800,30.3400,21401.52,1910.85,-948.78568798,0,22363.58431202,
Mark-to-Market Performance Summary,Data,Stocks,1288,6931000,6931000,5.3900,5.3800,-8829.4009,0,0,0,-8829.4009,
Mark-to-Market Performance Summary,Data,Stocks,1398,4852000,4852000,6.1600,6.0800,-49447.7024,0,0,0,-49447.7024,
Mark-to-Market Performance Summary,Data,Stocks,1810,120000,60000,51.2500,50.8000,-6879.06,2293.02,-643.75033298,0,-5229.79033298,
Mark-to-Market Performance Summary,Data,Stocks,2359,268800,67200,99.1500,101.5000,80469.7152,-29913.7198,-4196.697007957,0,46359.298392043,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,87500,25.3800,25.4000,445.865,0,-177.518920425,0,268.346079575,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,86400,91.1600,90.9200,-5283.11808,1981.16928,-628.687749571,0,-3930.636549571,
Mark-to-Market Performance Summary,Data,Stocks,2899,500000,250000,23.0600,22.8600,-12739,-3622.9716,-1180.456010757,0,-17542.427610757,
Mark-to-Market Performance Summary,Data,Stocks,3067,1026000,513000,11.5200,11.5100,-1307.0214,653.5107,-472.033392653,0,-1125.544092653,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,407.0000,416.4000,17722.4968,0,0,0,17722.4968,
Mark-to-Market Performance Summary,Data,Stocks,388,33200,16600,427.4000,430.6000,13533.9136,-2374.5496,-1477.9894349,0,9681.3745651,
Mark-to-Market Performance Summary,Data,Stocks,3888,75000,0,33.6200,33.3000,-3057.36,-181.40336,-518.100181268,0,-3756.863541268,
Mark-to-Market Performance Summary,Data,Stocks,3988,4840000,4840000,4.5700,4.5400,-18497.028,0,0,0,-18497.028,
Mark-to-Market Performance Summary,Data,Stocks,700,38000,19000,561.0000,561.0000,0,-4840.82,-2201.85551213,0,-7042.67551213,
Mark-to-Market Performance Summary,Data,Stocks,762,3028000,4542000,9.9100,10.1100,77147.384,9383.5474,-3161.184857666,0,83369.746542334,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.5700,7.5400,-2942.709,0,0,0,-2942.709,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.7000,18.5600,-3103.2204,0,0,0,-3103.2204,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,46.5200,46.5000,-336.3096,0,0,0,-336.3096,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,482.0000,471.0000,-15414.19,0,0,0,-15414.19,
Mark-to-Market Performance Summary,Data,Stocks,A17U,615600,615600,2.7200,2.7000,-9565.93152,0,0,0,-9565.93152,
