Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 25, 2025"
Statement,Data,WhenGenerated,"2025-08-26, 01:18:17 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-88144139.25926577,5270.009542998,-77635262.13870212,-77629992.12915912,10514147.130106643
Net Asset Value,Data,Stock,194741326.8187,183216398.86976,0,183216398.86976,-11524927.94893998
Net Asset Value,Data,Options,-4118502.096500001,6522322.628500001,-10940290.1855,-4417967.556999999,-299465.460499998
Net Asset Value,Data,Interest Accruals,-72294.00389,177192.263871,-249280.964101,-72088.70023,205.30366
Net Asset Value,Data,Dividend Accruals,288183.7599625,198729.8023813,0,198729.8023813,-89453.9575812
Net Asset Value,Data,Total,102694575.21900669,190119913.57405534,-88824833.28830312,101295080.28575222,-1399494.933254465
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-1.362773964%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,102694575.21900669
Change in NAV,Data,Mark-to-Market,-1382743.75314149
Change in NAV,Data,Dividends,89529.7271517
Change in NAV,Data,Withholding Tax,-8800.7604657
Change in NAV,Data,Change in Dividend Accruals,-89359.8463608
Change in NAV,Data,Change in Interest Accruals,180.3249678
Change in NAV,Data,Commissions,-5529.899216651
Change in NAV,Data,Transaction Fees,-2701.593661197
Change in NAV,Data,Other FX Translations,-69.1325282
Change in NAV,Data,Ending Value,101295080.28575222
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,188000,188000,31.4600,31.7600,7219.764,0,0,0,7219.764,
Mark-to-Market Performance Summary,Data,Stocks,1288,6931000,6931000,5.5000,5.5000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1398,4852000,4826000,5.9600,5.9400,-12422.0904,0,-32.365264979,80145.601686,67691.146021021,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,52.5500,53.5000,7296.57,0,0,0,7296.57,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,103.2000,106.6000,29247.7248,0,0,0,29247.7248,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,25.8400,26.3600,5824.455,0,0,0,5824.455,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,92.8400,94.6200,19686.91392,0,0,0,19686.91392,
Mark-to-Market Performance Summary,Data,Stocks,2899,250000,250000,22.8800,24.3400,46723.65,0,0,0,46723.65,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,11.8700,12.2700,26267.652,0,0,0,26267.652,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,418.0000,413.0000,-9472.74,0,0,0,-9472.74,
Mark-to-Market Performance Summary,Data,Stocks,388,16600,16600,448.0000,462.8000,31449.4968,0,0,0,31449.4968,
Mark-to-Market Performance Summary,Data,Stocks,3988,4840000,4046000,4.4300,4.4200,-6195.684,1016.3994,-733.679373743,0,-5912.963973743,
Mark-to-Market Performance Summary,Data,Stocks,700,24000,51200,600.0000,614.5000,44547.48,-6931.7415,-3501.570287609,0,34114.168212392,
Mark-to-Market Performance Summary,Data,Stocks,762,2270000,2270000,10.4000,10.4100,2905.827,0,0,0,2905.827,
Mark-to-Market Performance Summary,Data,Stocks,8346.T,29300,29300,403.0000,408.0000,991.43875,0,0,0,991.43875,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,3800,3800,"3,150.0000","3,155.0000",128.5825,0,0,0,128.5825,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.5100,7.4800,-2957.031,0,0,0,-2957.031,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.7300,18.8300,2227.374,0,0,0,2227.374,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,46.4400,47.0000,9462.4992,0,0,0,9462.4992,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,505.0000,516.0000,15489.21,0,0,0,15489.21,
Mark-to-Market Performance Summary,Data,Stocks,A17U,904200,1816600,2.6700,2.7200,35165.2422,-6694.69674,-1813.062298039,0,26657.483161961,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,29,29,227.7600,227.1600,-17.4,0,0,0,-17.4,
