Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"September 3, 2025"
Statement,Data,WhenGenerated,"2025-09-04, 01:22:01 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-102346109.33176675,3694279.27422043,-112960131.97882095,-109265852.70460051,-6919743.372833759
Net Asset Value,Data,Stock,210424279.41268998,216892051.91416,0,216892051.91416,6467772.501470029
Net Asset Value,Data,Options,-7720138.169000001,8560031.15,-16811254.409999996,-8251223.259999996,-531085.090999995
Net Asset Value,Data,Interest Accruals,-158211.7622667,274285.0185485,-444603.7718063,-170318.7532578,-12106.9909911
Net Asset Value,Data,Dividend Accruals,213955.7134745,212440.9024508,-488.64,211952.2624508,-2003.4510237
Net Asset Value,Data,Total,100413775.86313103,229633088.25937974,-130216478.80062725,99416609.4587525,-997166.404378533
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.035167531%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,100413775.86313103
Change in NAV,Data,Mark-to-Market,51148.93747922
Change in NAV,Data,Deposits & Withdrawals,-1032116.48
Change in NAV,Data,Change in Dividend Accruals,-2106.292668
Change in NAV,Data,Change in Interest Accruals,-12070.306037
Change in NAV,Data,Commissions,-2088.41984298
Change in NAV,Data,Other FX Translations,66.1566902
Change in NAV,Data,Ending Value,99416609.4587525
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,235000,235000,31.0000,30.8000,-6025.4,0,0,0,-6025.4,
Mark-to-Market Performance Summary,Data,Stocks,1258,993000,993000,11.5900,11.6100,2546.052,0,0,0,2546.052,
Mark-to-Market Performance Summary,Data,Stocks,1288,5198000,5198000,5.3500,5.3200,-19991.508,0,0,0,-19991.508,
Mark-to-Market Performance Summary,Data,Stocks,1398,3620000,3620000,5.8100,5.7400,-32485.88,0,0,0,-32485.88,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,55.8500,54.7000,-8845.8,0,0,0,-8845.8,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,117.0000,117.6000,5169.024,0,0,0,5169.024,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,26.0400,25.9000,-1570.45,0,0,0,-1570.45,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,93.2200,92.7200,-5538.24,0,0,0,-5538.24,
Mark-to-Market Performance Summary,Data,Stocks,2899,626000,626000,27.1000,27.6000,40126.6,0,0,0,40126.6,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,12.0800,11.9700,-7234.326,0,0,0,-7234.326,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,417.6000,422.0000,8348.384,0,0,0,8348.384,
Mark-to-Market Performance Summary,Data,Stocks,388,22000,22000,443.6000,437.6000,-16922.4,0,0,0,-16922.4,
Mark-to-Market Performance Summary,Data,Stocks,3988,3876000,3876000,4.3500,4.3100,-19876.128,0,0,0,-19876.128,
Mark-to-Market Performance Summary,Data,Stocks,700,79300,79300,600.5000,598.5000,-20332.52,0,0,0,-20332.52,
Mark-to-Market Performance Summary,Data,Stocks,762,2270000,2270000,9.3700,9.3000,-20370.98,0,0,0,-20370.98,
Mark-to-Market Performance Summary,Data,Stocks,8346.T,60400,75100,410.0000,407.0000,-1223.40804,348.320203,-17.118053375,0,-892.205890375,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,7600,9500,"3,150.0000","3,035.0000",-5900.9858,87.7721,-16.605431431,0,-5829.819131431,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.6700,7.7400,6909.98,0,0,0,6909.98,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,20.0600,19.8700,-4238.292,0,0,0,-4238.292,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,49.7200,49.4200,-5076.72,0,0,0,-5076.72,
Mark-to-Market Performance Summary,Data,Stocks,9961,13800,13800,569.5000,558.0000,-20345.34,0,0,0,-20345.34,
