Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"September 4, 2025"
Statement,Data,WhenGenerated,"2025-09-05, 01:08:07 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-109265852.70460051,3851547.896360951,-113599221.77452655,-109747673.8781656,-481821.17356509
Net Asset Value,Data,Stock,216892051.91416,217824821.12366,0,217824821.12366,932769.209499985
Net Asset Value,Data,Options,-8251223.259999996,9347361.333,-17938360.902,-8590999.568999998,-339776.309000002
Net Asset Value,Data,Interest Accruals,-170318.7532578,35064.0298582,-70912.7881181,-35848.7582599,134469.9949979
Net Asset Value,Data,Dividend Accruals,211952.2624508,204369.4643059,-488.64,203880.8243059,-8071.4381449
Net Asset Value,Data,Total,99416609.4587525,231263163.84718508,-131608984.10464464,99654179.74254043,237570.283787936
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.238964379%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,99416609.4587525
Change in NAV,Data,Mark-to-Market,254162.34123573
Change in NAV,Data,Dividends,10263.4771094
Change in NAV,Data,Withholding Tax,-2082.0728512
Change in NAV,Data,Change in Dividend Accruals,-8020.4042582
Change in NAV,Data,Interest,-147506.6282623
Change in NAV,Data,Change in Interest Accruals,134449.0884812
Change in NAV,Data,Commissions,-1955.41917151
Change in NAV,Data,Transaction Fees,-1709.971125236
Change in NAV,Data,Other FX Translations,-30.12737
Change in NAV,Data,Ending Value,99654179.74254043
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,235000,235000,30.8000,30.7200,-2409.972,0,0,0,-2409.972,
Mark-to-Market Performance Summary,Data,Stocks,1258,993000,0,11.6100,10.7000,-115836.3297,-10132.1376,-2200.430013488,0,-128168.897313488,
Mark-to-Market Performance Summary,Data,Stocks,1288,5198000,5198000,5.3200,5.4300,73296.4782,0,0,0,73296.4782,
Mark-to-Market Performance Summary,Data,Stocks,1398,3620000,3620000,5.7400,5.7300,-4640.478,0,0,0,-4640.478,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,54.7000,53.4500,-9614.25,0,0,0,-9614.25,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,117.6000,109.0000,-74083.5648,0,0,0,-74083.5648,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,25.9000,25.6200,-3140.655,0,0,0,-3140.655,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,92.7200,91.6000,-12404.68992,0,0,0,-12404.68992,
Mark-to-Market Performance Summary,Data,Stocks,2899,626000,626000,27.6000,26.6800,-73827.1848,0,0,0,-73827.1848,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,11.9700,11.7700,-13152.294,0,0,0,-13152.294,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,422.0000,420.0000,-3794.424,0,0,0,-3794.424,
Mark-to-Market Performance Summary,Data,Stocks,388,22000,27500,437.6000,432.2000,-15228.972,-174.3384,-501.1324517,0,-15904.4428517,
Mark-to-Market Performance Summary,Data,Stocks,3988,3876000,3876000,4.3100,4.3200,4968.6444,0,0,0,4968.6444,
Mark-to-Market Performance Summary,Data,Stocks,700,79300,79300,598.5000,592.5000,-60992.802,0,0,0,-60992.802,
Mark-to-Market Performance Summary,Data,Stocks,762,2270000,2270000,9.3000,9.3600,17459.478,0,0,0,17459.478,
Mark-to-Market Performance Summary,Data,Stocks,8346.T,75100,75100,407.0000,418.0000,5563.70089,0,0,0,5563.70089,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,9500,9500,"3,035.0000","3,100.0000",4158.80075,0,0,0,4158.80075,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.7400,7.6300,-10857.693,0,0,0,-10857.693,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,19.8700,19.7900,-1784.4048,0,0,0,-1784.4048,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,49.4200,49.9200,8460.54,0,0,0,8460.54,
Mark-to-Market Performance Summary,Data,Stocks,9961,13800,13800,558.0000,562.0000,7076.088,0,0,0,7076.088,
Mark-to-Market Performance Summary,Data,Stocks,A17U,3478400,3478400,2.7600,2.7500,-26966.64384,0,0,4331.0442582,-22635.5995818,
