Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2025 - January 8, 2025"
Statement,Data,WhenGenerated,"2025-01-09, 00:45:16 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-122337750.59586051,1258166.601053101,-133152998.86019783,-131894832.25914472,-9557081.663284212
Net Asset Value,Data,Stock,194133060.80600002,196497881.946,0,196497881.946,2364821.139999986
Net Asset Value,Data,Options,-107017.55,90346,-268351.43675,-178005.43675,-70987.88675
Net Asset Value,Data,Interest Accruals,-523154.9986953,0,-128683.1068563,-128683.1068563,394471.891839
Net Asset Value,Data,Dividend Accruals,39694.96,82297.0041185,-234.28,82062.7241185,42367.7641185
Net Asset Value,Data,Total,71204832.62144418,197928691.5511716,-133550267.68380412,64378423.867367476,-6826408.754076704
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,3.494223775%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,71204832.62144418
Change in NAV,Data,Mark-to-Market,2279543.74004535
Change in NAV,Data,Deposits & Withdrawals,-9000000
Change in NAV,Data,Change in Dividend Accruals,42379.8473135
Change in NAV,Data,Interest,-540990.4926907
Change in NAV,Data,Change in Interest Accruals,394422.357909
Change in NAV,Data,Other Fees,-188.39
Change in NAV,Data,Commissions,-1290.47905123
Change in NAV,Data,Transaction Fees,-322.78833763
Change in NAV,Data,Other FX Translations,37.450735
Change in NAV,Data,Ending Value,64378423.867367476
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.5500,22.0000,-13439.08,0,0,0,-13439.08,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,266.6000,254.4000,-40000.014,0,0,0,-40000.014,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.4300,4.2600,-57388.5375,0,0,0,-57388.5375,
Mark-to-Market Performance Summary,Data,Stocks,1810,80000,150000,34.5000,32.8000,-35037.975,-257.72,-503.87449656,0,-35799.56949656,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,77.8500,75.2500,-1671.45,0,0,0,-1671.45,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,46.0500,43.0500,-48220.0625,0,0,0,-48220.0625,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,56.5000,51.1000,-13887.43,0,0,0,-13887.43,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,74.2800,71.4800,-156625.752,0,0,0,-156625.752,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.3900,9.0200,-28546.35,0,0,0,-28546.35,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,151.7000,146.7000,-8037.7875,0,0,0,-8037.7875,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,490.5000","1,554.0000",4019.9355,0,0,0,4019.9355,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,937.0000","3,965.0000",2678.4495,0,0,0,2678.4495,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.4000,12.1200,-8639.904,0,0,0,-8639.904,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,417.0000,369.2000,-255068.462,0,0,0,-255068.462,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,19.1200,19.0200,-6431.2,0,0,0,-6431.2,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,76.6000,75.3000,-20895.1875,0,0,0,-20895.1875,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,136.0000,135.3000,-1125.575,0,0,0,-1125.575,
Mark-to-Market Performance Summary,Data,Stocks,992,50000,50000,10.0800,9.5300,-3535.875,0,0,0,-3535.875,
Mark-to-Market Performance Summary,Data,Stocks,9961,9500,9500,540.0000,510.5000,-36036.73,0,0,0,-36036.73,
