Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"April 8, 2025"
Statement,Data,WhenGenerated,"2025-08-06, 01:50:32 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Trades,Header,DataDiscriminator,Asset Category,Currency,Account,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,USD,U18135473,IEF,"2025-04-08, 13:48:33","-5,571",95.18,94.93,530247.78,-16.425948654,-531508.087988,-1276.733945,1392.75,C;P
Trades,SubTotal,,Stocks,USD,IEF,,,-5571,,,530247.78,-16.425948654,-531508.087988,-1276.733945,1392.75,
Trades,Data,Order,Stocks,USD,U18135473,STIP,"2025-04-08, 13:49:50","9,800",102.894735714,102.81,-1008368.41,-14.179346,1008382.589346,0,-830.41,O;P
Trades,SubTotal,,Stocks,USD,STIP,,,9800,,,-1008368.41,-14.179346,1008382.589346,0,-830.41,
Trades,Data,Order,Stocks,USD,U18135473,TLT,"2025-04-08, 13:50:44","-11,500",88.89286087,88.35,1022267.9,-55.48735262,-1056019.139902,-33806.727279,6242.9,C;IM;P
Trades,SubTotal,,Stocks,USD,TLT,,,-11500,,,1022267.9,-55.48735262,-1056019.139902,-33806.727279,6242.9,
Trades,Total,,Stocks,USD,,,,,,,544147.27,-86.092647274,-579144.638544,-35083.461224,6805.24, 
Trades,Header,DataDiscriminator,Asset Category,Currency,Account,Symbol,Date/Time,Quantity,T. Price,,Proceeds,Comm in USD,,,MTM in USD,Code
Trades,Data,Order,Forex,JPY,U8251256,USD.JPY,"2025-04-07, 22:24:14",0.7236,147.875,,-107.00235,0,,,-0.007847,
Trades,SubTotal,,Forex,JPY,USD.JPY,,,0.7236,,,-107.00235,0,,,-0.007847,
Trades,Total,,Forex,JPY,,,,,,,-107.00235,0,,,-0.007847, 
Trades,Total,,Forex,USD,,,,,,,-0.731446664,0,,,-0.007847, 
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"Assets held at Interactive Brokers (U.K.) Limited are subject to the UK Financial Services Compensation Scheme but are not protected by the U.S. Securities Investor Protection Corporation ("SIPC"). Assets held at Interactive Brokers LLC are subject to SIPC but are not protected under the UK Financial Services Compensation Scheme. As with all securities firms, SIPC coverage provides protection against failure of a broker-dealer, not against loss of market value of securities.  Futures and options on futures are not covered by SIPC."
