Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"June 26, 2025"
Statement,Data,WhenGenerated,"2025-08-06, 02:11:09 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Trades,Header,DataDiscriminator,Asset Category,Currency,Account,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,EUR,U18135473,HO,"2025-06-26, 11:00:17",307,249.574267101,249.6,-76619.3,-29.194604,76648.494604,0,7.9,O;P
Trades,Data,Order,Stocks,EUR,U18135473,HO,"2025-06-26, 11:05:11",310,249.830967742,249.6,-77447.6,-33.398384,77480.998384,0,-71.6,IM;O;P
Trades,Data,Order,Stocks,EUR,U18135473,HO,"2025-06-26, 11:09:43",368,249.947826087,249.6,-91980.8,-34.412477,92015.212477,0,-128,O;P
Trades,Data,Order,Stocks,EUR,U18135473,HO,"2025-06-26, 11:14:37",430,249.999534884,249.6,-107499.8,-30.729791,107530.529791,0,-171.8,IM;O;P
Trades,Data,Order,Stocks,EUR,U18135473,HO,"2025-06-26, 11:20:41",313,249.901277955,249.6,-78219.1,-29.13488,78248.23488,0,-94.3,IM;O;P
Trades,Data,Order,Stocks,EUR,U18135473,HO,"2025-06-26, 11:24:31",308,249.657467532,249.6,-76894.5,-31.1142675,76925.6142675,0,-17.7,IM;O;P
Trades,Data,Order,Stocks,EUR,U18135473,HO,"2025-06-26, 11:28:59",65,249.54,249.6,-16220.1,-8.11005,16228.21005,0,3.9,O;P
Trades,SubTotal,,Stocks,EUR,HO,,,2101,,,-524881.2,-196.0944535,525077.2944535,0,-471.6,
Trades,Data,Order,Stocks,EUR,U18135473,RHMd,"2025-06-26, 10:59:15",53,1844.849056604,1864.5,-97777,-34.562219,97811.562219,0,1041.5,O;P
Trades,Data,Order,Stocks,EUR,U18135473,RHMd,"2025-06-26, 11:03:20",43,1846.744186047,1864.5,-79410,-33.626367,79443.626367,0,763.5,O;P
Trades,Data,Order,Stocks,EUR,U18135473,RHMd,"2025-06-26, 11:06:22",50,1846.59,1864.5,-92329.5,-34.692724,92364.192724,0,895.5,IM;O;P
Trades,Data,Order,Stocks,EUR,U18135473,RHMd,"2025-06-26, 11:12:48",41,1846.451219512,1864.5,-75704.5,-32.535121,75737.035121,0,740,O;P
Trades,Data,Order,Stocks,EUR,U18135473,RHMd,"2025-06-26, 11:16:10",43,1844.209302326,1864.5,-79301,-34.132427,79335.132427,0,872.5,O;P
Trades,Data,Order,Stocks,EUR,U18135473,RHMd,"2025-06-26, 11:18:41",42,1845.166666667,1864.5,-77497,-29.722105,77526.722105,0,812,O;P
Trades,Data,Order,Stocks,EUR,U18135473,RHMd,"2025-06-26, 11:21:39",43,1846.075581395,1864.5,-79381.25,-31.504309,79412.754309,0,792.25,IM;O;P
Trades,Data,Order,Stocks,EUR,U18135473,RHMd,"2025-06-26, 11:24:38",42,1847.035714286,1864.5,-77575.5,-30.494912,77605.994912,0,733.5,O;P
Trades,Data,Order,Stocks,EUR,U18135473,RHMd,"2025-06-26, 11:28:42",23,1847.760869565,1864.5,-42498.5,-21.27925,42519.77925,0,385,O;P
Trades,SubTotal,,Stocks,EUR,RHMd,,,380,,,-701474.25,-282.549434,701756.799434,0,7035.75,
Trades,Total,,Stocks,EUR,,,,,,,-1226355.45,-478.6438875,1226834.0938875,0,6564.15, 
Trades,Total,,Stocks,USD,,,,,,,-1434958.512045,-560.061212764,1435518.573257764,0,7680.711915, 
Trades,Data,Order,Stocks,HKD,U18135473,1288,"2025-06-26, 01:53:36","278,000",5.77,5.79,-1604060,-2620.1073,1606680.1073,0,5560,O;P
Trades,SubTotal,,Stocks,HKD,1288,,,278000,,,-1604060,-2620.1073,1606680.1073,0,5560,
Trades,Data,Order,Stocks,HKD,U18135473,1398,"2025-06-26, 01:30:59","210,000",6.43,6.45,-1350300,-2167.9315,1352467.9315,0,4200,O
Trades,SubTotal,,Stocks,HKD,1398,,,210000,,,-1350300,-2167.9315,1352467.9315,0,4200,
Trades,Data,Order,Stocks,HKD,U18135473,2097,"2025-06-26, 01:02:12","-6,000",511,512,3066000,-4940.732,-2977825.7697,83233.498301,-6000,C;P
Trades,SubTotal,,Stocks,HKD,2097,,,-6000,,,3066000,-4940.732,-2977825.7697,83233.498301,-6000,
Trades,Data,Order,Stocks,HKD,U18135473,2359,"2025-06-26, 01:02:53","3,300",76.9,77.4,-253770,-410.68525,254180.68525,0,1650,O;P
Trades,SubTotal,,Stocks,HKD,2359,,,3300,,,-253770,-410.68525,254180.68525,0,1650,
Trades,Data,Order,Stocks,HKD,U18135473,2800,"2025-06-26, 01:06:17","121,000",24.78,24.76,-2998380,-1814.0199,3000194.0199,0,-2420,O;P
Trades,SubTotal,,Stocks,HKD,2800,,,121000,,,-2998380,-1814.0199,3000194.0199,0,-2420,
Trades,Data,Order,Stocks,HKD,U18135473,3988,"2025-06-26, 01:02:30","200,000",4.73,4.74,-946000,-1518.33,947518.33,0,2000,O
Trades,SubTotal,,Stocks,HKD,3988,,,200000,,,-946000,-1518.33,947518.33,0,2000,
Trades,Total,,Stocks,HKD,,,,,,,-4086510,-13471.80595,4183215.30425,83233.498301,4990, 
Trades,Total,,Stocks,USD,,,,,,,-520580.5089,-1716.17335997,532899.797608407,10603.115348564,635.6761, 
Trades,Data,Order,Stocks,SGD,U18135473,BN4,"2025-06-26, 02:02:00","13,000",7.37,7.38,-95810,-89.67816,95899.67816,0,130,O;P
Trades,SubTotal,,Stocks,SGD,BN4,,,13000,,,-95810,-89.67816,95899.67816,0,130,
Trades,Total,,Stocks,SGD,,,,,,,-95810,-89.67816,95899.67816,0,130, 
Trades,Total,,Stocks,USD,,,,,,,-75176.3584,-70.365071462,75246.723471462,0,102.0032, 
Trades,Data,Order,Stocks,USD,U18135473,AVAV,"2025-06-26, 10:57:16","1,300",264.338461538,272.37,-343640,-0.937411,343640.937411,0,10441,O;P
Trades,SubTotal,,Stocks,USD,AVAV,,,1300,,,-343640,-0.937411,343640.937411,0,10441,
Trades,Data,Order,Stocks,USD,U18135473,BABA,"2025-06-26, 12:36:45",100,113.92,113.93,-11392,-0.25375725,11392.25375725,0,1,O;P
Trades,Data,Order,Stocks,USD,U18135473,BABA,"2025-06-26, 13:16:57",200,113.94,113.93,-22788,-0.207294,22788.207294,0,-2,O;P
Trades,Data,Order,Stocks,USD,U18135473,BABA,"2025-06-26, 14:02:13","2,200",113.77815,113.93,-250311.93,-3.903534,250315.833534,0,334.07,IM;O;P
Trades,SubTotal,,Stocks,USD,BABA,,,2500,,,-284491.93,-4.36458525,284496.29458525,0,333.07,
Trades,Data,Order,Stocks,USD,U18135473,CME,"2025-06-26, 11:49:00",100,272.61,272.83,-27261,-0.24375725,27261.24375725,0,22,O
Trades,SubTotal,,Stocks,USD,CME,,,100,,,-27261,-0.24375725,27261.24375725,0,22,
